Deltoid,Bicep,Time
32.0,-5.0,0.0
28.0,-4.0,0.001
19.0,4.0,0.002
13.0,13.0,0.003
5.0,15.0,0.004
-10.0,12.0,0.005
-22.0,12.0,0.006
-23.0,10.0,0.007
-18.0,6.0,0.008
-16.0,-2.0,0.009
-17.0,-4.0,0.01
-12.0,-1.0,0.011
-4.0,3.0,0.012
0.0,6.0,0.013
-2.0,7.0,0.014
-5.0,4.0,0.015
-5.0,-1.0,0.016
-2.0,-3.0,0.017
-3.0,-4.0,0.018
0.0,-4.0,0.019
11.0,-7.0,0.02
19.0,-12.0,0.021
21.0,-14.0,0.022
15.0,-17.0,0.023
13.0,-16.0,0.024
14.0,-9.0,0.025
11.0,0.0,0.026
1.0,4.0,0.027
-13.0,-1.0,0.028
-26.0,-9.0,0.029
-30.0,-13.0,0.03
-18.0,-13.0,0.031
3.0,-12.0,0.032
14.0,-12.0,0.033
9.0,-15.0,0.034
4.0,-17.0,0.035
9.0,-14.0,0.036
16.0,-3.0,0.037
14.0,2.0,0.038
11.0,1.0,0.039
12.0,-4.0,0.04
10.0,-10.0,0.041
0.0,-12.0,0.042
-6.0,-10.0,0.043
-3.0,-3.0,0.044
-4.0,6.0,0.045
-16.0,12.0,0.046
-29.0,16.0,0.047
-35.0,18.0,0.048
-32.0,18.0,0.049
-24.0,14.0,0.05
-12.0,7.0,0.051
2.0,3.0,0.052
14.0,1.0,0.053
25.0,2.0,0.054
34.0,4.0,0.055
37.0,6.0,0.056
32.0,6.0,0.057
26.0,0.0,0.058
29.0,-4.0,0.059
28.0,-2.0,0.06
11.0,-3.0,0.061
-15.0,-6.0,0.062
-28.0,-7.0,0.063
-28.0,-7.0,0.064
-34.0,-5.0,0.065
-40.0,-7.0,0.066
-32.0,-9.0,0.067
-16.0,-7.0,0.068
-3.0,-4.0,0.069
7.0,0.0,0.07
17.0,2.0,0.071
18.0,0.0,0.072
9.0,-1.0,0.073
11.0,-1.0,0.074
33.0,4.0,0.075
55.0,6.0,0.076
55.0,2.0,0.077
36.0,-7.0,0.078
22.0,-9.0,0.079
10.0,-5.0,0.08
-8.0,-5.0,0.081
-17.0,-5.0,0.082
-10.0,-2.0,0.083
0.0,1.0,0.084
-4.0,0.0,0.085
-15.0,-1.0,0.086
-17.0,-1.0,0.087
-20.0,0.0,0.088
-34.0,-1.0,0.089
-46.0,0.0,0.09
-38.0,4.0,0.091
-19.0,4.0,0.092
-5.0,2.0,0.093
5.0,3.0,0.094
20.0,7.0,0.095
30.0,6.0,0.096
31.0,-1.0,0.097
24.0,-10.0,0.098
16.0,-11.0,0.099
2.0,-11.0,0.1
-22.0,-13.0,0.101
-40.0,-9.0,0.102
-33.0,0.0,0.103
-14.0,8.0,0.104
-5.0,2.0,0.105
-2.0,-6.0,0.106
11.0,-11.0,0.107
39.0,-11.0,0.108
50.0,-7.0,0.109
33.0,-2.0,0.11
7.0,2.0,0.111
0.0,0.0,0.112
14.0,-3.0,0.113
22.0,4.0,0.114
14.0,19.0,0.115
-1.0,25.0,0.116
-4.0,19.0,0.117
7.0,12.0,0.118
23.0,14.0,0.119
27.0,15.0,0.12
19.0,4.0,0.121
11.0,-7.0,0.122
10.0,-12.0,0.123
11.0,-9.0,0.124
3.0,-4.0,0.125
-7.0,2.0,0.126
-16.0,10.0,0.127
-21.0,11.0,0.128
-22.0,5.0,0.129
-15.0,-1.0,0.13
0.0,4.0,0.131
12.0,15.0,0.132
7.0,17.0,0.133
-8.0,6.0,0.134
-11.0,-3.0,0.135
-4.0,-4.0,0.136
1.0,2.0,0.137
0.0,0.0,0.138
-1.0,-7.0,0.139
2.0,-14.0,0.14
3.0,-18.0,0.141
-1.0,-17.0,0.142
0.0,-13.0,0.143
9.0,-8.0,0.144
20.0,0.0,0.145
19.0,8.0,0.146
