Deltoid,Bicep,Time
-2.0,-1.0,0.0
-1.0,-4.0,0.001
4.0,-6.0,0.002
14.0,-6.0,0.003
19.0,-1.0,0.004
15.0,6.0,0.005
4.0,12.0,0.006
-3.0,11.0,0.007
-3.0,7.0,0.008
1.0,5.0,0.009
6.0,8.0,0.01
4.0,11.0,0.011
-3.0,11.0,0.012
-11.0,5.0,0.013
-10.0,-2.0,0.014
-4.0,-4.0,0.015
-2.0,-4.0,0.016
-2.0,-5.0,0.017
-7.0,-8.0,0.018
-8.0,-11.0,0.019
-8.0,-10.0,0.02
-7.0,-9.0,0.021
1.0,-7.0,0.022
15.0,-5.0,0.023
20.0,-2.0,0.024
11.0,2.0,0.025
-1.0,5.0,0.026
-3.0,5.0,0.027
5.0,3.0,0.028
12.0,3.0,0.029
15.0,7.0,0.03
14.0,8.0,0.031
8.0,5.0,0.032
1.0,0.0,0.033
2.0,-5.0,0.034
15.0,-9.0,0.035
22.0,-10.0,0.036
16.0,-9.0,0.037
7.0,-5.0,0.038
11.0,-2.0,0.039
15.0,1.0,0.04
4.0,0.0,0.041
-10.0,0.0,0.042
-7.0,2.0,0.043
8.0,5.0,0.044
10.0,7.0,0.045
-2.0,7.0,0.046
-6.0,4.0,0.047
-2.0,3.0,0.048
-4.0,2.0,0.049
-12.0,2.0,0.05
-9.0,0.0,0.051
2.0,-1.0,0.052
4.0,-4.0,0.053
-6.0,-7.0,0.054
-11.0,-7.0,0.055
-4.0,-8.0,0.056
2.0,-6.0,0.057
1.0,-7.0,0.058
0.0,-10.0,0.059
-2.0,-10.0,0.06
-3.0,-8.0,0.061
-3.0,-1.0,0.062
5.0,2.0,0.063
14.0,2.0,0.064
14.0,5.0,0.065
7.0,10.0,0.066
6.0,10.0,0.067
9.0,5.0,0.068
5.0,1.0,0.069
-2.0,2.0,0.07
-2.0,3.0,0.071
3.0,2.0,0.072
3.0,0.0,0.073
0.0,0.0,0.074
0.0,-2.0,0.075
3.0,-6.0,0.076
3.0,-6.0,0.077
-5.0,-3.0,0.078
-11.0,-2.0,0.079
-12.0,-4.0,0.08
-9.0,-8.0,0.081
-4.0,-8.0,0.082
3.0,-3.0,0.083
10.0,0.0,0.084
12.0,4.0,0.085
8.0,5.0,0.086
6.0,3.0,0.087
9.0,0.0,0.088
11.0,2.0,0.089
15.0,8.0,0.09
17.0,9.0,0.091
19.0,6.0,0.092
15.0,2.0,0.093
5.0,0.0,0.094
0.0,-1.0,0.095
1.0,-5.0,0.096
3.0,-5.0,0.097
1.0,-4.0,0.098
-3.0,-2.0,0.099
-6.0,-3.0,0.1
-5.0,-6.0,0.101
-2.0,-6.0,0.102
1.0,-5.0,0.103
3.0,-3.0,0.104
4.0,1.0,0.105
5.0,7.0,0.106
4.0,10.0,0.107
0.0,6.0,0.108
-4.0,1.0,0.109
-7.0,0.0,0.11
-10.0,3.0,0.111
-13.0,1.0,0.112
-16.0,-1.0,0.113
-12.0,0.0,0.114
-2.0,4.0,0.115
6.0,3.0,0.116
9.0,-1.0,0.117
8.0,-7.0,0.118
9.0,-8.0,0.119
14.0,-11.0,0.12
22.0,-16.0,0.121
28.0,-14.0,0.122
29.0,-8.0,0.123
25.0,0.0,0.124
13.0,8.0,0.125
-6.0,13.0,0.126
-21.0,17.0,0.127
-27.0,15.0,0.128
-21.0,8.0,0.129
-8.0,4.0,0.13
0.0,2.0,0.131
4.0,4.0,0.132
5.0,3.0,0.133
9.0,0.0,0.134
11.0,-3.0,0.135
9.0,-5.0,0.136
6.0,-5.0,0.137
4.0,-6.0,0.138
2.0,-7.0,0.139
-5.0,-7.0,0.14
-11.0,-9.0,0.141
-8.0,-8.0,0.142
2.0,-6.0,0.143
8.0,-3.0,0.144
3.0,1.0,0.145
-2.0,2.0,0.146
-3.0,3.0,0.147
-4.0,3.0,0.148
-11.0,4.0,0.149
-13.0,3.0,0.15
-3.0,0.0,0.151
9.0,-3.0,0.152
14.0,-2.0,0.153
13.0,-1.0,0.154
15.0,-2.0,0.155
19.0,-5.0,0.156
22.0,-5.0,0.157
18.0,-7.0,0.158
13.0,-5.0,0.159
7.0,-4.0,0.16
0.0,-5.0,0.161
-3.0,-5.0,0.162
2.0,-2.0,0.163
6.0,0.0,0.164
2.0,2.0,0.165
-1.0,5.0,0.166
-4.0,3.0,0.167
-8.0,2.0,0.168
-12.0,3.0,0.169
-14.0,4.0,0.17
-6.0,5.0,0.171
1.0,5.0,0.172
7.0,3.0,0.173
13.0,1.0,0.174
13.0,-1.0,0.175
12.0,-4.0,0.176
12.0,-3.0,0.177
13.0,-1.0,0.178
12.0,1.0,0.179
8.0,0.0,0.18
0.0,-3.0,0.181
-7.0,-6.0,0.182
-3.0,-5.0,0.183
5.0,-2.0,0.184
3.0,1.0,0.185
-3.0,4.0,0.186
0.0,1.0,0.187
7.0,-5.0,0.188
9.0,-7.0,0.189
5.0,-5.0,0.19
6.0,-2.0,0.191
9.0,-1.0,0.192
2.0,1.0,0.193
-10.0,5.0,0.194
-15.0,5.0,0.195
-15.0,-1.0,0.196
-19.0,-6.0,0.197
-28.0,-8.0,0.198
-31.0,-6.0,0.199
-18.0,-7.0,0.2
0.0,-10.0,0.201
15.0,-9.0,0.202
29.0,0.0,0.203
41.0,13.0,0.204
44.0,21.0,0.205
35.0,19.0,0.206
25.0,8.0,0.207
19.0,0.0,0.208
11.0,1.0,0.209
0.0,5.0,0.21
-1.0,4.0,0.211
8.0,-1.0,0.212
10.0,-1.0,0.213
2.0,0.0,0.214
-4.0,-1.0,0.215
-3.0,-6.0,0.216
0.0,-8.0,0.217
4.0,-6.0,0.218
6.0,-4.0,0.219
4.0,-4.0,0.22
-4.0,-7.0,0.221
-16.0,-6.0,0.222
-16.0,-5.0,0.223
-9.0,-3.0,0.224
-3.0,0.0,0.225
-2.0,3.0,0.226
0.0,4.0,0.227
5.0,4.0,0.228
12.0,4.0,0.229
14.0,4.0,0.23
7.0,-1.0,0.231
-2.0,-5.0,0.232
-6.0,-6.0,0.233
-8.0,-6.0,0.234
-11.0,-6.0,0.235
-14.0,-5.0,0.236
-13.0,-1.0,0.237
-5.0,1.0,0.238
4.0,0.0,0.239
4.0,-3.0,0.24
-3.0,-7.0,0.241
-5.0,-7.0,0.242
0.0,-4.0,0.243
6.0,-3.0,0.244
12.0,1.0,0.245
14.0,6.0,0.246
16.0,6.0,0.247
12.0,1.0,0.248
4.0,-3.0,0.249
1.0,-3.0,0.25
0.0,-1.0,0.251
-6.0,0.0,0.252
-16.0,0.0,0.253
-19.0,-1.0,0.254
-11.0,-3.0,0.255
3.0,-4.0,0.256
22.0,0.0,0.257
34.0,4.0,0.258
