Deltoid,Bicep,Time
0,3,0.0
1,6,0.001
-1,7,0.002
-2,4,0.003
0,0,0.004
5,0,0.005
6,2,0.006
7,1,0.007
7,0,0.008
7,0,0.009
4,2,0.01
1,0,0.011
4,-6,0.012
11,-6,0.013
10,-4,0.014
3,-2,0.015
-5,-1,0.016
-7,-3,0.017
-4,-5,0.018
2,-3,0.019
8,-1,0.02
6,0,0.021
0,3,0.022
-2,4,0.023
1,5,0.024
4,1,0.025
3,-2,0.026
2,-1,0.027
6,0,0.028
10,0,0.029
8,-1,0.03
3,-2,0.031
1,-3,0.032
2,-1,0.033
0,0,0.034
-2,-4,0.035
-2,-6,0.036
-2,-7,0.037
-3,-3,0.038
-2,0,0.039
0,0,0.04
0,4,0.041
0,6,0.042
2,2,0.043
7,-4,0.044
9,-4,0.045
5,-1,0.046
1,0,0.047
1,-1,0.048
3,-1,0.049
3,1,0.05
0,0,0.051
-1,-2,0.052
0,-1,0.053
2,1,0.054
3,0,0.055
1,-5,0.056
-1,-11,0.057
0,-7,0.058
8,0,0.059
15,2,0.06
11,3,0.061
2,5,0.062
0,5,0.063
7,3,0.064
9,0,0.065
6,1,0.066
7,2,0.067
8,0,0.068
5,-3,0.069
-3,-4,0.07
-5,-2,0.071
-4,-2,0.072
0,-1,0.073
0,-1,0.074
0,-3,0.075
-2,-5,0.076
-6,-10,0.077
-9,-8,0.078
-3,-3,0.079
5,2,0.08
9,6,0.081
6,7,0.082
3,4,0.083
6,0,0.084
9,0,0.085
11,4,0.086
9,8,0.087
6,8,0.088
1,3,0.089
0,-2,0.09
0,-4,0.091
3,-3,0.092
4,-2,0.093
1,0,0.094
-1,0,0.095
-2,0,0.096
-3,-3,0.097
-2,-5,0.098
3,-2,0.099
7,1,0.1
4,2,0.101
-3,3,0.102
-4,4,0.103
0,5,0.104
3,3,0.105
1,2,0.106
0,0,0.107
4,-1,0.108
10,-2,0.109
9,-3,0.11
2,-1,0.111
-1,-1,0.112
1,-5,0.113
1,-8,0.114
0,-5,0.115
-4,-3,0.116
-8,-4,0.117
-7,-7,0.118
-2,-7,0.119
6,-2,0.12
8,4,0.121
2,7,0.122
0,5,0.123
2,1,0.124
2,2,0.125
0,7,0.126
1,8,0.127
9,1,0.128
13,-5,0.129
7,-5,0.13
2,-2,0.131
1,1,0.132
4,1,0.133
1,0,0.134
-4,-2,0.135
-11,-6,0.136
-12,-11,0.137
-7,-10,0.138
1,-5,0.139
9,-1,0.14
11,3,0.141
10,7,0.142
12,8,0.143
15,4,0.144
12,0,0.145
5,2,0.146
4,4,0.147
5,4,0.148
2,1,0.149
-2,-1,0.15
0,-2,0.151
5,-2,0.152
