Deltoid,Bicep,Time
-13.0,-6.0,0.0
-5.0,-7.0,0.001
-3.0,-5.0,0.002
4.0,-5.0,0.003
16.0,-5.0,0.004
20.0,0.0,0.005
9.0,8.0,0.006
-2.0,8.0,0.007
-2.0,1.0,0.008
0.0,-3.0,0.009
-7.0,-1.0,0.01
-14.0,-1.0,0.011
-10.0,-3.0,0.012
-4.0,-2.0,0.013
-2.0,3.0,0.014
-4.0,6.0,0.015
0.0,1.0,0.016
5.0,-4.0,0.017
4.0,-6.0,0.018
1.0,-4.0,0.019
1.0,-2.0,0.02
1.0,-2.0,0.021
1.0,0.0,0.022
4.0,0.0,0.023
10.0,0.0,0.024
10.0,1.0,0.025
2.0,4.0,0.026
-2.0,4.0,0.027
2.0,0.0,0.028
6.0,-1.0,0.029
3.0,2.0,0.03
0.0,2.0,0.031
3.0,-1.0,0.032
8.0,-5.0,0.033
10.0,-3.0,0.034
9.0,-1.0,0.035
9.0,-1.0,0.036
9.0,-3.0,0.037
7.0,-2.0,0.038
7.0,0.0,0.039
5.0,1.0,0.04
2.0,-2.0,0.041
-3.0,-3.0,0.042
0.0,-2.0,0.043
8.0,2.0,0.044
7.0,7.0,0.045
-2.0,9.0,0.046
-8.0,8.0,0.047
-3.0,2.0,0.048
0.0,-1.0,0.049
-2.0,-1.0,0.05
-6.0,1.0,0.051
-4.0,1.0,0.052
2.0,0.0,0.053
7.0,-1.0,0.054
10.0,-2.0,0.055
15.0,-4.0,0.056
20.0,-2.0,0.057
16.0,-3.0,0.058
9.0,-2.0,0.059
2.0,-3.0,0.06
-3.0,-6.0,0.061
-6.0,-5.0,0.062
0.0,-3.0,0.063
4.0,0.0,0.064
2.0,6.0,0.065
1.0,10.0,0.066
2.0,5.0,0.067
3.0,-2.0,0.068
1.0,-4.0,0.069
0.0,2.0,0.07
-2.0,5.0,0.071
-4.0,-1.0,0.072
-4.0,-5.0,0.073
-4.0,-3.0,0.074
0.0,0.0,0.075
4.0,-1.0,0.076
3.0,-3.0,0.077
1.0,-4.0,0.078
-1.0,-5.0,0.079
0.0,-3.0,0.08
0.0,-4.0,0.081
-1.0,-3.0,0.082
3.0,-1.0,0.083
8.0,1.0,0.084
2.0,6.0,0.085
-10.0,8.0,0.086
-12.0,4.0,0.087
-6.0,-1.0,0.088
-6.0,-3.0,0.089
-14.0,-3.0,0.09
-16.0,-4.0,0.091
-5.0,-7.0,0.092
12.0,-8.0,0.093
23.0,-6.0,0.094
28.0,-1.0,0.095
29.0,4.0,0.096
24.0,6.0,0.097
10.0,3.0,0.098
-2.0,-1.0,0.099
0.0,-2.0,0.1
10.0,-5.0,0.101
18.0,-3.0,0.102
23.0,-1.0,0.103
25.0,2.0,0.104
17.0,5.0,0.105
0.0,5.0,0.106
-10.0,2.0,0.107
-7.0,-2.0,0.108
-1.0,-4.0,0.109
-2.0,-4.0,0.11
-5.0,-3.0,0.111
-2.0,-4.0,0.112
6.0,-5.0,0.113
5.0,-2.0,0.114
-3.0,0.0,0.115
-8.0,-2.0,0.116
-4.0,-5.0,0.117
0.0,-7.0,0.118
-2.0,-5.0,0.119
-8.0,-4.0,0.12
-8.0,-6.0,0.121
-4.0,-3.0,0.122
5.0,2.0,0.123
13.0,4.0,0.124
12.0,4.0,0.125
2.0,7.0,0.126
-4.0,10.0,0.127
-6.0,6.0,0.128
-10.0,1.0,0.129
-18.0,4.0,0.13
-21.0,8.0,0.131
-15.0,3.0,0.132
-4.0,-6.0,0.133
2.0,-7.0,0.134
6.0,-3.0,0.135
14.0,0.0,0.136
21.0,-1.0,0.137
20.0,-4.0,0.138
18.0,-2.0,0.139
17.0,0.0,0.14
16.0,-4.0,0.141
14.0,-5.0,0.142
8.0,-4.0,0.143
4.0,-3.0,0.144
4.0,-1.0,0.145
4.0,4.0,0.146
1.0,9.0,0.147
0.0,7.0,0.148
1.0,0.0,0.149
3.0,-5.0,0.15
-1.0,-3.0,0.151
-3.0,-1.0,0.152
0.0,-2.0,0.153
2.0,-5.0,0.154
0.0,-5.0,0.155
-1.0,-6.0,0.156
0.0,-5.0,0.157
3.0,-4.0,0.158
1.0,-2.0,0.159
-4.0,0.0,0.16
-3.0,-3.0,0.161
0.0,-3.0,0.162
1.0,-2.0,0.163
0.0,-2.0,0.164
-2.0,-1.0,0.165
-2.0,3.0,0.166
4.0,9.0,0.167
10.0,9.0,0.168
10.0,6.0,0.169
7.0,3.0,0.17
6.0,3.0,0.171
10.0,0.0,0.172
10.0,-4.0,0.173
4.0,-4.0,0.174
-3.0,-3.0,0.175
-4.0,-3.0,0.176
-4.0,-4.0,0.177
-8.0,-4.0,0.178
-11.0,-2.0,0.179
-14.0,-1.0,0.18
-14.0,-4.0,0.181
-8.0,-5.0,0.182
7.0,-4.0,0.183
24.0,-4.0,0.184
31.0,-5.0,0.185
25.0,-1.0,0.186
14.0,4.0,0.187
5.0,5.0,0.188
0.0,3.0,0.189
-2.0,0.0,0.19
-1.0,-1.0,0.191
2.0,-4.0,0.192
5.0,-5.0,0.193
10.0,-4.0,0.194
9.0,-3.0,0.195
2.0,0.0,0.196
-4.0,1.0,0.197
-4.0,0.0,0.198
-18.0,-3.0,0.199
-26.0,-4.0,0.2
-20.0,-5.0,0.201
-12.0,-4.0,0.202
-2.0,-5.0,0.203
8.0,-2.0,0.204
8.0,2.0,0.205
8.0,7.0,0.206
8.0,6.0,0.207
8.0,4.0,0.208
3.0,4.0,0.209
-4.0,4.0,0.21
-10.0,1.0,0.211
-12.0,0.0,0.212
-2.0,0.0,0.213
6.0,-2.0,0.214
6.0,-8.0,0.215
3.0,-14.0,0.216
6.0,-10.0,0.217
-3.0,-8.0,0.218
-8.0,-3.0,0.219
-11.0,0.0,0.22
-9.0,-1.0,0.221
-6.0,-3.0,0.222
-2.0,-3.0,0.223
2.0,0.0,0.224
2.0,5.0,0.225
2.0,9.0,0.226
2.0,5.0,0.227
2.0,2.0,0.228
0.0,6.0,0.229
-3.0,8.0,0.23
-5.0,2.0,0.231
-6.0,-3.0,0.232
-2.0,-6.0,0.233
1.0,-8.0,0.234
1.0,-3.0,0.235
0.0,1.0,0.236
1.0,1.0,0.237
3.0,2.0,0.238
3.0,-1.0,0.239
3.0,-4.0,0.24
1.0,-8.0,0.241
0.0,-4.0,0.242
3.0,3.0,0.243
10.0,4.0,0.244
9.0,2.0,0.245
4.0,-1.0,0.246
3.0,0.0,0.247
10.0,2.0,0.248
11.0,5.0,0.249
7.0,7.0,0.25
1.0,7.0,0.251
1.0,4.0,0.252
0.0,-1.0,0.253
-2.0,-4.0,0.254
-2.0,-5.0,0.255
-2.0,-5.0,0.256
-4.0,-3.0,0.257
-11.0,-3.0,0.258
-14.0,-2.0,0.259
-6.0,-1.0,0.26
5.0,-3.0,0.261
12.0,-4.0,0.262
16.0,-2.0,0.263
22.0,1.0,0.264
27.0,3.0,0.265
21.0,5.0,0.266
12.0,5.0,0.267
9.0,3.0,0.268
14.0,1.0,0.269
14.0,0.0,0.27
5.0,-1.0,0.271
-2.0,-5.0,0.272
0.0,-6.0,0.273
2.0,-4.0,0.274
-3.0,-4.0,0.275
-6.0,-5.0,0.276
0.0,-3.0,0.277
8.0,-4.0,0.278
2.0,-3.0,0.279
-17.0,-3.0,0.28
-29.0,-5.0,0.281
-28.0,-4.0,0.282
-21.0,-2.0,0.283
-12.0,0.0,0.284
0.0,3.0,0.285
21.0,5.0,0.286
43.0,3.0,0.287
59.0,1.0,0.288
58.0,2.0,0.289
35.0,6.0,0.29
5.0,4.0,0.291
-15.0,-4.0,0.292
-21.0,-8.0,0.293
-23.0,-5.0,0.294
-26.0,0.0,0.295
-22.0,-1.0,0.296
-9.0,-4.0,0.297
1.0,-7.0,0.298
2.0,0.0,0.299
2.0,4.0,0.3
-2.0,0.0,0.301
-4.0,-2.0,0.302
0.0,-2.0,0.303
3.0,0.0,0.304
4.0,1.0,0.305
4.0,2.0,0.306
1.0,4.0,0.307
0.0,4.0,0.308
5.0,7.0,0.309
7.0,8.0,0.31
0.0,3.0,0.311
-2.0,-1.0,0.312
10.0,-4.0,0.313
18.0,-2.0,0.314
12.0,0.0,0.315
7.0,3.0,0.316
5.0,7.0,0.317
4.0,5.0,0.318
-2.0,-2.0,0.319
-13.0,-7.0,0.32
-18.0,-8.0,0.321
-15.0,-4.0,0.322
-8.0,-5.0,0.323
0.0,-7.0,0.324
13.0,-2.0,0.325
22.0,6.0,0.326
21.0,6.0,0.327
14.0,0.0,0.328
8.0,-1.0,0.329
5.0,5.0,0.33
2.0,5.0,0.331
1.0,-2.0,0.332
0.0,-5.0,0.333
-3.0,-2.0,0.334
-10.0,0.0,0.335
-17.0,-3.0,0.336
-15.0,-4.0,0.337
-8.0,-6.0,0.338
1.0,-6.0,0.339
8.0,-5.0,0.34
14.0,-2.0,0.341
19.0,5.0,0.342
19.0,7.0,0.343
15.0,5.0,0.344
3.0,7.0,0.345
-6.0,10.0,0.346
-5.0,5.0,0.347
4.0,-2.0,0.348
11.0,-2.0,0.349
10.0,-1.0,0.35
7.0,-4.0,0.351
2.0,-10.0,0.352
-1.0,-8.0,0.353
-3.0,-2.0,0.354
3.0,-4.0,0.355
12.0,-8.0,0.356
14.0,-5.0,0.357
7.0,-3.0,0.358
2.0,-1.0,0.359
0.0,-4.0,0.36
-5.0,-5.0,0.361
-14.0,-4.0,0.362
-11.0,-6.0,0.363
2.0,-6.0,0.364
10.0,0.0,0.365
5.0,6.0,0.366
-1.0,4.0,0.367
0.0,0.0,0.368
1.0,1.0,0.369
0.0,6.0,0.37
1.0,9.0,0.371
6.0,6.0,0.372
8.0,3.0,0.373
8.0,0.0,0.374
8.0,-3.0,0.375
