Deltoid,Bicep,Time
-3.0,1.0,0.0
-7.0,-2.0,0.001
-8.0,-4.0,0.002
-3.0,-3.0,0.003
1.0,0.0,0.004
4.0,5.0,0.005
2.0,11.0,0.006
4.0,12.0,0.007
8.0,8.0,0.008
10.0,0.0,0.009
9.0,-5.0,0.01
8.0,-6.0,0.011
10.0,-9.0,0.012
7.0,-13.0,0.013
0.0,-13.0,0.014
-6.0,-9.0,0.015
-8.0,-4.0,0.016
-7.0,-1.0,0.017
-5.0,-2.0,0.018
-4.0,-1.0,0.019
-6.0,1.0,0.02
-9.0,1.0,0.021
-7.0,6.0,0.022
1.0,13.0,0.023
9.0,14.0,0.024
7.0,9.0,0.025
2.0,1.0,0.026
2.0,-4.0,0.027
7.0,-8.0,0.028
12.0,-11.0,0.029
16.0,-12.0,0.03
22.0,-9.0,0.031
25.0,-5.0,0.032
21.0,-1.0,0.033
12.0,10.0,0.034
6.0,24.0,0.035
5.0,29.0,0.036
6.0,24.0,0.037
0.0,4.0,0.038
-2.0,-14.0,0.039
-4.0,-27.0,0.04
-8.0,-33.0,0.041
-12.0,-31.0,0.042
-10.0,-19.0,0.043
-7.0,2.0,0.044
-6.0,27.0,0.045
-4.0,48.0,0.046
-2.0,57.0,0.047
0.0,54.0,0.048
4.0,42.0,0.049
8.0,21.0,0.05
8.0,-7.0,0.051
7.0,-33.0,0.052
6.0,-50.0,0.053
6.0,-58.0,0.054
6.0,-67.0,0.055
6.0,-69.0,0.056
10.0,-60.0,0.057
0.0,-36.0,0.058
-3.0,0.0,0.059
-7.0,32.0,0.06
-13.0,51.0,0.061
-18.0,62.0,0.062
-15.0,48.0,0.063
-11.0,36.0,0.064
-9.0,30.0,0.065
-6.0,17.0,0.066
-4.0,-20.0,0.067
0.0,-55.0,0.068
6.0,-85.0,0.069
12.0,-109.0,0.07
12.0,-110.0,0.071
11.0,-104.0,0.072
10.0,-72.0,0.073
9.0,-40.0,0.074
9.0,-11.0,0.075
9.0,15.0,0.076
15.0,32.0,0.077
21.0,49.0,0.078
17.0,56.0,0.079
7.0,54.0,0.08
-5.0,47.0,0.081
-14.0,44.0,0.082
-12.0,42.0,0.083
-3.0,42.0,0.084
1.0,44.0,0.085
-3.0,41.0,0.086
-6.0,35.0,0.087
0.0,28.0,0.088
7.0,23.0,0.089
9.0,21.0,0.09
8.0,19.0,0.091
15.0,15.0,0.092
20.0,12.0,0.093
17.0,8.0,0.094
10.0,5.0,0.095
4.0,1.0,0.096
5.0,3.0,0.097
3.0,2.0,0.098
0.0,1.0,0.099
-2.0,0.0,0.1
-6.0,-6.0,0.101
-9.0,-7.0,0.102
-4.0,-6.0,0.103
4.0,-4.0,0.104
10.0,-2.0,0.105
3.0,0.0,0.106
-6.0,0.0,0.107
-9.0,-3.0,0.108
-5.0,-6.0,0.109
2.0,-7.0,0.11
13.0,-6.0,0.111
20.0,-6.0,0.112
19.0,-3.0,0.113
14.0,-2.0,0.114
8.0,-1.0,0.115
6.0,-2.0,0.116
8.0,-5.0,0.117
9.0,-6.0,0.118
9.0,-7.0,0.119
2.0,-6.0,0.12
-9.0,-8.0,0.121
-12.0,-8.0,0.122
-4.0,-10.0,0.123
5.0,-11.0,0.124
3.0,-10.0,0.125
-4.0,-7.0,0.126
-6.0,-6.0,0.127
-3.0,-5.0,0.128
-2.0,-7.0,0.129
-3.0,-7.0,0.13
-1.0,-7.0,0.131
3.0,-5.0,0.132
7.0,-5.0,0.133
8.0,-3.0,0.134
9.0,0.0,0.135
11.0,2.0,0.136
9.0,0.0,0.137
2.0,-6.0,0.138
-3.0,-8.0,0.139
-11.0,-4.0,0.14
-17.0,-2.0,0.141
-17.0,-3.0,0.142
-9.0,-6.0,0.143
0.0,-3.0,0.144
2.0,-2.0,0.145
4.0,-1.0,0.146
10.0,-2.0,0.147
14.0,-1.0,0.148
12.0,-1.0,0.149
7.0,-2.0,0.15
5.0,0.0,0.151
4.0,6.0,0.152
2.0,9.0,0.153
3.0,5.0,0.154
7.0,-1.0,0.155
7.0,-1.0,0.156
6.0,4.0,0.157
3.0,6.0,0.158
4.0,2.0,0.159
4.0,0.0,0.16
-2.0,-2.0,0.161
-5.0,-2.0,0.162
-2.0,-3.0,0.163
5.0,-1.0,0.164
6.0,4.0,0.165
3.0,7.0,0.166
2.0,2.0,0.167
6.0,-5.0,0.168
8.0,-6.0,0.169
6.0,-1.0,0.17
3.0,2.0,0.171
4.0,2.0,0.172
3.0,3.0,0.173
3.0,6.0,0.174
4.0,6.0,0.175
5.0,0.0,0.176
4.0,-4.0,0.177
0.0,-6.0,0.178
-3.0,-6.0,0.179
-4.0,-5.0,0.18
-5.0,-8.0,0.181
-5.0,-7.0,0.182
-1.0,-3.0,0.183
4.0,-2.0,0.184
3.0,-2.0,0.185
-2.0,-1.0,0.186
-4.0,0.0,0.187
-3.0,-2.0,0.188
3.0,-5.0,0.189
7.0,-4.0,0.19
13.0,0.0,0.191
18.0,4.0,0.192
14.0,4.0,0.193
5.0,1.0,0.194
1.0,1.0,0.195
4.0,3.0,0.196
7.0,5.0,0.197
4.0,2.0,0.198
-2.0,-1.0,0.199
-8.0,-2.0,0.2
-7.0,-6.0,0.201
-5.0,-8.0,0.202
-1.0,-7.0,0.203
1.0,-4.0,0.204
1.0,1.0,0.205
-1.0,3.0,0.206
-1.0,2.0,0.207
3.0,0.0,0.208
4.0,0.0,0.209
3.0,0.0,0.21
3.0,0.0,0.211
7.0,-4.0,0.212
10.0,-4.0,0.213
9.0,-2.0,0.214
6.0,-1.0,0.215
5.0,-2.0,0.216
5.0,0.0,0.217
1.0,5.0,0.218
-2.0,8.0,0.219
-6.0,4.0,0.22
-8.0,-4.0,0.221
-6.0,-7.0,0.222
1.0,-5.0,0.223
8.0,-3.0,0.224
8.0,-3.0,0.225
1.0,-1.0,0.226
0.0,2.0,0.227
5.0,4.0,0.228
11.0,3.0,0.229
13.0,-1.0,0.23
16.0,-6.0,0.231
19.0,-6.0,0.232
16.0,-4.0,0.233
5.0,-2.0,0.234
-6.0,-2.0,0.235
-13.0,-2.0,0.236
-15.0,2.0,0.237
-12.0,2.0,0.238
-3.0,1.0,0.239
4.0,-2.0,0.24
4.0,-7.0,0.241
-1.0,-7.0,0.242
-2.0,-7.0,0.243
0.0,-3.0,0.244
-3.0,3.0,0.245
-7.0,7.0,0.246
-1.0,3.0,0.247
10.0,-1.0,0.248
11.0,0.0,0.249
4.0,6.0,0.25
0.0,7.0,0.251
1.0,3.0,0.252
1.0,-1.0,0.253
-1.0,-2.0,0.254
4.0,-2.0,0.255
13.0,0.0,0.256
18.0,2.0,0.257
15.0,1.0,0.258
10.0,-2.0,0.259
5.0,-3.0,0.26
-2.0,0.0,0.261
-6.0,7.0,0.262
-4.0,5.0,0.263
2.0,-2.0,0.264
5.0,0.0,0.265
1.0,6.0,0.266
0.0,7.0,0.267
2.0,-1.0,0.268
4.0,-6.0,0.269
6.0,-5.0,0.27
9.0,0.0,0.271
9.0,2.0,0.272
3.0,4.0,0.273
-1.0,3.0,0.274
0.0,-2.0,0.275
2.0,-6.0,0.276
0.0,-2.0,0.277
-5.0,2.0,0.278
-5.0,0.0,0.279
-5.0,-6.0,0.28
-10.0,-10.0,0.281
-12.0,-6.0,0.282
-5.0,-2.0,0.283
7.0,-2.0,0.284
9.0,-1.0,0.285
2.0,2.0,0.286
0.0,1.0,0.287
6.0,-4.0,0.288
12.0,-7.0,0.289
8.0,-3.0,0.29
6.0,0.0,0.291
8.0,-2.0,0.292
10.0,-2.0,0.293
10.0,1.0,0.294
11.0,3.0,0.295
14.0,0.0,0.296
15.0,0.0,0.297
9.0,0.0,0.298
-1.0,1.0,0.299
-16.0,-3.0,0.3
-27.0,-10.0,0.301
-31.0,-10.0,0.302
-19.0,-7.0,0.303
-2.0,-3.0,0.304
11.0,-1.0,0.305
18.0,0.0,0.306
23.0,0.0,0.307
22.0,-1.0,0.308
11.0,-1.0,0.309
0.0,0.0,0.31
0.0,1.0,0.311
6.0,0.0,0.312
4.0,2.0,0.313
0.0,8.0,0.314
4.0,9.0,0.315
13.0,4.0,0.316
11.0,1.0,0.317
-5.0,0.0,0.318
-13.0,0.0,0.319
-7.0,0.0,0.32
-1.0,-4.0,0.321
-4.0,-3.0,0.322
-2.0,-3.0,0.323
10.0,-4.0,0.324
20.0,-2.0,0.325
14.0,0.0,0.326
2.0,0.0,0.327
-5.0,-4.0,0.328
-8.0,-5.0,0.329
-7.0,-1.0,0.33
-3.0,3.0,0.331
5.0,2.0,0.332
9.0,-1.0,0.333
11.0,-2.0,0.334
12.0,1.0,0.335
14.0,3.0,0.336
13.0,3.0,0.337
8.0,1.0,0.338
4.0,2.0,0.339
0.0,3.0,0.34
-1.0,0.0,0.341
0.0,-2.0,0.342
9.0,-2.0,0.343
14.0,-2.0,0.344
4.0,-2.0,0.345
-4.0,-3.0,0.346
-5.0,-5.0,0.347
-5.0,-7.0,0.348
-3.0,-5.0,0.349
-2.0,-2.0,0.35
-2.0,0.0,0.351
-1.0,3.0,0.352
0.0,7.0,0.353
1.0,8.0,0.354
0.0,2.0,0.355
0.0,-2.0,0.356
7.0,-3.0,0.357
12.0,-2.0,0.358
2.0,2.0,0.359
-9.0,4.0,0.36
-17.0,2.0,0.361
-18.0,0.0,0.362
-8.0,-1.0,0.363
8.0,-5.0,0.364
18.0,-4.0,0.365
16.0,0.0,0.366
10.0,1.0,0.367
6.0,-1.0,0.368
8.0,-4.0,0.369
6.0,-3.0,0.37
6.0,0.0,0.371
4.0,-1.0,0.372
2.0,-3.0,0.373
-1.0,-1.0,0.374
-2.0,2.0,0.375
-1.0,2.0,0.376
1.0,0.0,0.377
3.0,-2.0,0.378
3.0,-3.0,0.379
-1.0,-4.0,0.38
-5.0,-5.0,0.381
-5.0,-4.0,0.382
0.0,-2.0,0.383
4.0,-3.0,0.384
1.0,-2.0,0.385
-2.0,-1.0,0.386
0.0,-1.0,0.387
6.0,-1.0,0.388
9.0,-1.0,0.389
7.0,0.0,0.39
4.0,1.0,0.391
8.0,0.0,0.392
11.0,-2.0,0.393
13.0,2.0,0.394
13.0,8.0,0.395
11.0,8.0,0.396
6.0,3.0,0.397
0.0,-4.0,0.398
-7.0,-5.0,0.399
-10.0,-5.0,0.4
-8.0,-8.0,0.401
-2.0,-9.0,0.402
4.0,-9.0,0.403
8.0,-6.0,0.404
4.0,-2.0,0.405
0.0,3.0,0.406
0.0,5.0,0.407
3.0,4.0,0.408
6.0,2.0,0.409
4.0,2.0,0.41
-1.0,2.0,0.411
-3.0,-1.0,0.412
-2.0,-2.0,0.413
1.0,0.0,0.414
2.0,0.0,0.415
1.0,-6.0,0.416
5.0,-8.0,0.417
9.0,-5.0,0.418
11.0,1.0,0.419
11.0,1.0,0.42
3.0,-5.0,0.421
-2.0,-7.0,0.422
2.0,-3.0,0.423
5.0,-1.0,0.424
4.0,0.0,0.425
3.0,1.0,0.426
3.0,1.0,0.427
3.0,0.0,0.428
4.0,-2.0,0.429
6.0,-1.0,0.43
8.0,-1.0,0.431
11.0,0.0,0.432
13.0,2.0,0.433
15.0,3.0,0.434
9.0,2.0,0.435
2.0,0.0,0.436
-7.0,1.0,0.437
-17.0,2.0,0.438
-23.0,3.0,0.439
-19.0,1.0,0.44
-11.0,-2.0,0.441
-8.0,-5.0,0.442
-8.0,-6.0,0.443
-4.0,-7.0,0.444
-4.0,-6.0,0.445
-9.0,-5.0,0.446
-10.0,-6.0,0.447
0.0,-3.0,0.448
13.0,4.0,0.449
20.0,11.0,0.45
23.0,10.0,0.451
23.0,8.0,0.452
20.0,7.0,0.453
9.0,8.0,0.454
1.0,4.0,0.455
6.0,0.0,0.456
14.0,0.0,0.457
10.0,0.0,0.458
0.0,0.0,0.459
-3.0,-3.0,0.46
-2.0,-5.0,0.461
-7.0,-5.0,0.462
-10.0,-4.0,0.463
-1.0,-2.0,0.464
9.0,0.0,0.465
4.0,0.0,0.466
-5.0,-2.0,0.467
-5.0,-4.0,0.468
3.0,-4.0,0.469
8.0,-4.0,0.47
2.0,-3.0,0.471
0.0,-2.0,0.472
4.0,0.0,0.473
10.0,1.0,0.474
11.0,1.0,0.475
5.0,2.0,0.476
3.0,4.0,0.477
1.0,3.0,0.478
0.0,1.0,0.479
-1.0,0.0,0.48
-4.0,-4.0,0.481
-5.0,-4.0,0.482
-1.0,-7.0,0.483
4.0,-6.0,0.484
6.0,0.0,0.485
3.0,4.0,0.486
5.0,-1.0,0.487
10.0,-10.0,0.488
12.0,-9.0,0.489
7.0,-2.0,0.49
4.0,2.0,0.491
3.0,1.0,0.492
3.0,2.0,0.493
2.0,6.0,0.494
3.0,6.0,0.495
2.0,0.0,0.496
-1.0,-1.0,0.497
-5.0,1.0,0.498
-6.0,3.0,0.499
-7.0,0.0,0.5
-7.0,-4.0,0.501
-5.0,-3.0,0.502
4.0,-1.0,0.503
10.0,-4.0,0.504
3.0,-4.0,0.505
-3.0,0.0,0.506
-3.0,3.0,0.507
-3.0,0.0,0.508
1.0,-6.0,0.509
4.0,-7.0,0.51
8.0,-5.0,0.511
10.0,-6.0,0.512
6.0,-4.0,0.513
2.0,0.0,0.514
-2.0,4.0,0.515
-4.0,2.0,0.516
0.0,0.0,0.517
5.0,0.0,0.518
11.0,0.0,0.519
8.0,-2.0,0.52
0.0,-8.0,0.521
-5.0,-9.0,0.522
-3.0,-7.0,0.523
2.0,-4.0,0.524
3.0,-2.0,0.525
3.0,-1.0,0.526
9.0,-3.0,0.527
19.0,-5.0,0.528
25.0,-5.0,0.529
22.0,-2.0,0.53
12.0,-1.0,0.531
6.0,-1.0,0.532
3.0,2.0,0.533
2.0,9.0,0.534
-1.0,11.0,0.535
-3.0,5.0,0.536
-4.0,2.0,0.537
-4.0,3.0,0.538
-6.0,6.0,0.539
-9.0,3.0,0.54
-8.0,-6.0,0.541
-1.0,-8.0,0.542
8.0,-4.0,0.543
11.0,0.0,0.544
7.0,1.0,0.545
2.0,3.0,0.546
3.0,4.0,0.547
7.0,3.0,0.548
8.0,1.0,0.549
6.0,4.0,0.55
4.0,6.0,0.551
3.0,5.0,0.552
3.0,2.0,0.553
1.0,3.0,0.554
0.0,6.0,0.555
2.0,6.0,0.556
4.0,1.0,0.557
0.0,-1.0,0.558
-5.0,-1.0,0.559
-10.0,-2.0,0.56
-11.0,-9.0,0.561
-9.0,-9.0,0.562
-3.0,-7.0,0.563
2.0,-6.0,0.564
5.0,-6.0,0.565
1.0,-4.0,0.566
-3.0,0.0,0.567
-6.0,-2.0,0.568
-5.0,-3.0,0.569
-3.0,0.0,0.57
0.0,1.0,0.571
5.0,-2.0,0.572
11.0,-5.0,0.573
16.0,-4.0,0.574
18.0,-1.0,0.575
18.0,-2.0,0.576
12.0,0.0,0.577
-2.0,6.0,0.578
-16.0,12.0,0.579
-27.0,8.0,0.58
-23.0,-4.0,0.581
-16.0,-6.0,0.582
-5.0,0.0,0.583
5.0,0.0,0.584
13.0,-5.0,0.585
20.0,-6.0,0.586
20.0,-4.0,0.587
19.0,-3.0,0.588
16.0,-4.0,0.589
14.0,0.0,0.59
16.0,3.0,0.591
16.0,1.0,0.592
9.0,-1.0,0.593
3.0,0.0,0.594
4.0,4.0,0.595
5.0,2.0,0.596
3.0,-2.0,0.597
-1.0,-3.0,0.598
-4.0,1.0,0.599
-9.0,7.0,0.6
-11.0,6.0,0.601
-11.0,1.0,0.602
-2.0,-6.0,0.603
10.0,-9.0,0.604
15.0,-6.0,0.605
8.0,-1.0,0.606
0.0,-3.0,0.607
0.0,-8.0,0.608
2.0,-8.0,0.609
1.0,-2.0,0.61
0.0,4.0,0.611
3.0,3.0,0.612
7.0,-2.0,0.613
7.0,-4.0,0.614
3.0,-5.0,0.615
0.0,-2.0,0.616
1.0,1.0,0.617
3.0,0.0,0.618
0.0,-5.0,0.619
-5.0,-7.0,0.62
-12.0,-7.0,0.621
-14.0,-6.0,0.622
-9.0,-5.0,0.623
0.0,-2.0,0.624
6.0,4.0,0.625
5.0,5.0,0.626
2.0,0.0,0.627
2.0,-3.0,0.628
4.0,-1.0,0.629
5.0,3.0,0.63
8.0,5.0,0.631
9.0,3.0,0.632
8.0,0.0,0.633
2.0,1.0,0.634
0.0,2.0,0.635
-1.0,4.0,0.636
0.0,9.0,0.637
-3.0,9.0,0.638
-6.0,5.0,0.639
-6.0,0.0,0.64
1.0,-3.0,0.641
15.0,-2.0,0.642
26.0,-4.0,0.643
29.0,-3.0,0.644
22.0,3.0,0.645
6.0,8.0,0.646
-6.0,7.0,0.647
-7.0,3.0,0.648
1.0,4.0,0.649
7.0,5.0,0.65
4.0,2.0,0.651
-1.0,-3.0,0.652
-1.0,-5.0,0.653
0.0,-4.0,0.654
0.0,-3.0,0.655
-2.0,-3.0,0.656
0.0,-2.0,0.657
0.0,-4.0,0.658
-3.0,-7.0,0.659
-6.0,-6.0,0.66
-6.0,-5.0,0.661
-3.0,0.0,0.662
3.0,0.0,0.663
9.0,0.0,0.664
9.0,4.0,0.665
9.0,7.0,0.666
5.0,3.0,0.667
1.0,-2.0,0.668
0.0,-4.0,0.669
-2.0,-4.0,0.67
-4.0,-4.0,0.671
-6.0,-5.0,0.672
-7.0,-1.0,0.673
-8.0,2.0,0.674
-5.0,1.0,0.675
-3.0,2.0,0.676
-3.0,7.0,0.677
0.0,6.0,0.678
10.0,0.0,0.679
15.0,-8.0,0.68
11.0,-11.0,0.681
10.0,-8.0,0.682
10.0,-5.0,0.683
7.0,-2.0,0.684
-3.0,0.0,0.685
-7.0,3.0,0.686
1.0,2.0,0.687
15.0,0.0,0.688
17.0,0.0,0.689
13.0,2.0,0.69
13.0,5.0,0.691
14.0,8.0,0.692
9.0,8.0,0.693
2.0,4.0,0.694
2.0,-1.0,0.695
4.0,-3.0,0.696
4.0,1.0,0.697
-2.0,1.0,0.698
-3.0,-2.0,0.699
-5.0,-7.0,0.7
-6.0,-9.0,0.701
-6.0,-5.0,0.702
-2.0,-3.0,0.703
2.0,-3.0,0.704
2.0,-2.0,0.705
2.0,0.0,0.706
6.0,2.0,0.707
8.0,-2.0,0.708
5.0,-4.0,0.709
3.0,-3.0,0.71
3.0,-2.0,0.711
3.0,-3.0,0.712
4.0,-4.0,0.713
4.0,-1.0,0.714
2.0,0.0,0.715
0.0,-2.0,0.716
-1.0,1.0,0.717
-3.0,3.0,0.718
0.0,4.0,0.719
2.0,-3.0,0.72
3.0,-11.0,0.721
3.0,-10.0,0.722
6.0,-5.0,0.723
5.0,-2.0,0.724
-1.0,0.0,0.725
-7.0,1.0,0.726
-7.0,2.0,0.727
-4.0,0.0,0.728
-4.0,0.0,0.729
-7.0,2.0,0.73
-7.0,3.0,0.731
-1.0,1.0,0.732
7.0,1.0,0.733
13.0,3.0,0.734
15.0,4.0,0.735
17.0,2.0,0.736
20.0,1.0,0.737
16.0,0.0,0.738
6.0,0.0,0.739
-2.0,0.0,0.74
-8.0,-2.0,0.741
-11.0,-5.0,0.742
-3.0,-5.0,0.743
3.0,-6.0,0.744
7.0,-4.0,0.745
9.0,-3.0,0.746
7.0,-4.0,0.747
5.0,-5.0,0.748
5.0,-3.0,0.749
6.0,0.0,0.75
7.0,1.0,0.751
8.0,3.0,0.752
4.0,1.0,0.753
0.0,-1.0,0.754
-4.0,0.0,0.755
-8.0,2.0,0.756
-14.0,6.0,0.757
-17.0,8.0,0.758
-6.0,4.0,0.759
3.0,-1.0,0.76
4.0,-4.0,0.761
-1.0,-4.0,0.762
0.0,-2.0,0.763
6.0,0.0,0.764
8.0,3.0,0.765
2.0,1.0,0.766
0.0,-4.0,0.767
6.0,-8.0,0.768
13.0,-4.0,0.769
12.0,2.0,0.77
5.0,3.0,0.771
2.0,0.0,0.772
3.0,-1.0,0.773
2.0,0.0,0.774
2.0,-2.0,0.775
3.0,-7.0,0.776
6.0,-6.0,0.777
2.0,0.0,0.778
-5.0,3.0,0.779
-12.0,-1.0,0.78
-11.0,-9.0,0.781
-3.0,-10.0,0.782
8.0,-7.0,0.783
19.0,-4.0,0.784
22.0,-2.0,0.785
18.0,0.0,0.786
13.0,0.0,0.787
14.0,-4.0,0.788
17.0,-4.0,0.789
16.0,-1.0,0.79
8.0,-4.0,0.791
-2.0,-6.0,0.792
-4.0,-4.0,0.793
-2.0,2.0,0.794
-3.0,5.0,0.795
-8.0,4.0,0.796
-11.0,7.0,0.797
-8.0,9.0,0.798
-1.0,6.0,0.799
0.0,0.0,0.8
-4.0,-4.0,0.801
-11.0,-2.0,0.802
-11.0,-1.0,0.803
-7.0,-2.0,0.804
-4.0,-1.0,0.805
-4.0,3.0,0.806
-3.0,4.0,0.807
0.0,0.0,0.808
3.0,-1.0,0.809
3.0,1.0,0.81
4.0,2.0,0.811
8.0,0.0,0.812
10.0,-1.0,0.813
9.0,-2.0,0.814
6.0,-3.0,0.815
9.0,-3.0,0.816
15.0,2.0,0.817
15.0,2.0,0.818
13.0,0.0,0.819
10.0,-2.0,0.82
3.0,-3.0,0.821
-3.0,-1.0,0.822
-5.0,0.0,0.823
-7.0,0.0,0.824
-8.0,2.0,0.825
-7.0,2.0,0.826
0.0,0.0,0.827
6.0,-1.0,0.828
7.0,-1.0,0.829
8.0,-2.0,0.83
8.0,-4.0,0.831
8.0,-4.0,0.832
9.0,-1.0,0.833
9.0,2.0,0.834
7.0,2.0,0.835
5.0,1.0,0.836
5.0,2.0,0.837
4.0,0.0,0.838
3.0,-3.0,0.839
0.0,-5.0,0.84
-3.0,-10.0,0.841
-5.0,-10.0,0.842
-2.0,-9.0,0.843
3.0,-4.0,0.844
2.0,1.0,0.845
-7.0,9.0,0.846
-15.0,13.0,0.847
