Deltoid,Bicep,Time
4,0,0.0
3,3,0.001
-4,7,0.002
-10,4,0.003
-16,-3,0.004
-29,-5,0.005
-43,-2,0.006
-40,-1,0.007
-16,-3,0.008
13,-4,0.009
26,-1,0.01
28,0,0.011
33,-1,0.012
44,-2,0.013
42,-4,0.014
25,-6,0.015
14,-5,0.016
22,-6,0.017
33,-6,0.018
27,-5,0.019
6,-2,0.02
-11,3,0.021
-13,4,0.022
-8,-2,0.023
-6,-5,0.024
-9,-3,0.025
-13,2,0.026
-15,1,0.027
-14,-4,0.028
-10,-3,0.029
-7,1,0.03
-4,5,0.031
0,5,0.032
1,8,0.033
-3,4,0.034
-10,0,0.035
-13,-2,0.036
-8,-5,0.037
0,-5,0.038
8,-4,0.039
14,-2,0.04
14,1,0.041
8,2,0.042
1,0,0.043
-4,-4,0.044
-5,-4,0.045
0,-1,0.046
6,0,0.047
10,-1,0.048
4,-2,0.049
-1,-1,0.05
3,0,0.051
17,-1,0.052
28,-1,0.053
23,0,0.054
9,0,0.055
-4,-3,0.056
-9,-10,0.057
-11,-13,0.058
-10,-7,0.059
-7,1,0.06
-3,5,0.061
1,5,0.062
7,0,0.063
14,-2,0.064
17,-1,0.065
15,2,0.066
11,3,0.067
6,1,0.068
3,0,0.069
-3,2,0.07
-8,4,0.071
-7,4,0.072
-1,2,0.073
0,0,0.074
-7,-1,0.075
-14,-4,0.076
-9,-4,0.077
5,-4,0.078
19,-4,0.079
20,-4,0.08
13,-1,0.081
12,0,0.082
15,-2,0.083
8,-5,0.084
-16,-3,0.085
-41,-2,0.086
-38,-5,0.087
-10,-7,0.088
16,-5,0.089
25,-2,0.09
25,0,0.091
30,2,0.092
36,1,0.093
30,0,0.094
16,-1,0.095
5,-4,0.096
2,-4,0.097
0,-4,0.098
2,-4,0.099
4,-4,0.1
-1,-1,0.101
-5,0,0.102
-3,-2,0.103
-2,-5,0.104
-1,-3,0.105
-1,-2,0.106
-6,-5,0.107
-10,-7,0.108
-4,-5,0.109
-1,-2,0.11
-6,0,0.111
-10,2,0.112
-10,1,0.113
-6,0,0.114
-4,-1,0.115
-7,-4,0.116
-9,-8,0.117
-5,-7,0.118
0,-3,0.119
-4,-1,0.12
-13,0,0.121
-9,2,0.122
12,2,0.123
36,0,0.124
43,-1,0.125
31,0,0.126
18,-3,0.127
13,-6,0.128
8,-4,0.129
-1,2,0.13
-3,4,0.131
10,1,0.132
27,0,0.133
31,4,0.134
21,6,0.135
11,3,0.136
6,-3,0.137
2,-4,0.138
-3,-2,0.139
0,2,0.14
16,5,0.141
35,3,0.142
40,2,0.143
20,3,0.144
-14,6,0.145
-44,9,0.146
-56,9,0.147
-52,5,0.148
-42,3,0.149
-35,3,0.15
-26,1,0.151
-18,-1,0.152
-9,3,0.153
-2,4,0.154
7,0,0.155
11,-6,0.156
3,-11,0.157
-4,-9,0.158
1,-5,0.159
17,-3,0.16
22,-2,0.161
15,-2,0.162
10,-3,0.163
12,-6,0.164
14,-5,0.165
6,0,0.166
-4,2,0.167
-8,-1,0.168
0,-1,0.169
16,1,0.17
32,4,0.171
30,2,0.172
17,0,0.173
5,-3,0.174
3,-5,0.175
0,-7,0.176
-9,-10,0.177
-20,-7,0.178
-20,-2,0.179
-16,-1,0.18
-16,0,0.181
-12,2,0.182
4,2,0.183
22,1,0.184
26,1,0.185
20,2,0.186
17,2,0.187
17,-1,0.188
14,-6,0.189
11,-6,0.19
13,-4,0.191
20,-3,0.192
27,-2,0.193
25,-4,0.194
13,-5,0.195
-8,-2,0.196
-21,-1,0.197
-18,-1,0.198
-3,-3,0.199
9,-4,0.2
9,0,0.201
1,4,0.202
-3,2,0.203
-3,-1,0.204
-3,-1,0.205
-4,1,0.206
-5,2,0.207
-9,2,0.208
-13,4,0.209
-9,3,0.21
-1,0,0.211
4,-2,0.212
1,-1,0.213
-4,0,0.214
-4,-2,0.215
-1,-3,0.216
-2,-4,0.217
0,-4,0.218
10,-7,0.219
18,-5,0.22
12,2,0.221
-3,6,0.222
-6,2,0.223
7,-2,0.224
18,0,0.225
9,4,0.226
-11,1,0.227
-23,-3,0.228
-17,-4,0.229
7,-2,0.23
33,-3,0.231
44,-5,0.232
38,-3,0.233
24,-1,0.234
19,-1,0.235
14,-1,0.236
-3,-1,0.237
-22,-3,0.238
-24,-3,0.239
-11,-3,0.24
-4,-2,0.241
-7,-1,0.242
-9,-1,0.243
0,-1,0.244
14,-2,0.245
27,-3,0.246
41,-1,0.247
37,0,0.248
10,1,0.249
-23,3,0.25
-36,0,0.251
-27,-2,0.252
-21,-2,0.253
-14,-1,0.254
-7,-1,0.255
-3,0,0.256
-21,-2,0.257
-32,-5,0.258
-3,-5,0.259
17,-5,0.26
10,-3,0.261
3,-1,0.262
0,-1,0.263
-3,-2,0.264
0,-4,0.265
10,-6,0.266
10,-2,0.267
10,1,0.268
14,4,0.269
17,6,0.27
17,1,0.271
14,-3,0.272
0,-4,0.273
-4,-5,0.274
-2,-6,0.275
-1,-3,0.276
-6,-3,0.277
-9,-5,0.278
-1,-6,0.279
5,0,0.28
3,5,0.281
1,7,0.282
0,2,0.283
-1,-1,0.284
0,-3,0.285
3,-1,0.286
3,1,0.287
3,3,0.288
4,3,0.289
5,1,0.29
5,-1,0.291
4,1,0.292
0,4,0.293
-4,3,0.294
-8,-1,0.295
-13,-3,0.296
-19,-5,0.297
-17,-2,0.298
-6,-1,0.299
7,0,0.3
13,-1,0.301
14,1,0.302
15,3,0.303
12,0,0.304
3,-4,0.305
-2,-6,0.306
4,-3,0.307
14,0,0.308
13,-2,0.309
0,-2,0.31
-5,-1,0.311
0,2,0.312
13,4,0.313
18,3,0.314
15,2,0.315
9,3,0.316
8,2,0.317
13,1,0.318
19,-1,0.319
15,-2,0.32
0,-2,0.321
-12,0,0.322
-9,0,0.323
0,-1,0.324
-2,0,0.325
-9,4,0.326
-7,1,0.327
1,-3,0.328
8,-5,0.329
6,-1,0.33
5,1,0.331
7,-2,0.332
6,-3,0.333
0,-1,0.334
0,-2,0.335
-2,-5,0.336
-6,-11,0.337
-11,-9,0.338
-4,-3,0.339
5,0,0.34
-2,3,0.341
-29,6,0.342
-49,6,0.343
-36,-1,0.344
4,-5,0.345
46,-1,0.346
