Deltoid,Bicep,Time
-3.0,-3.0,0.0
-4.0,-6.0,0.001
-1.0,-3.0,0.002
2.0,3.0,0.003
7.0,3.0,0.004
7.0,-1.0,0.005
0.0,-2.0,0.006
-6.0,1.0,0.007
-10.0,5.0,0.008
-11.0,5.0,0.009
-9.0,4.0,0.01
-4.0,6.0,0.011
4.0,7.0,0.012
11.0,5.0,0.013
10.0,0.0,0.014
7.0,0.0,0.015
11.0,1.0,0.016
18.0,6.0,0.017
15.0,5.0,0.018
-5.0,0.0,0.019
-28.0,-7.0,0.02
-37.0,-18.0,0.021
-25.0,-23.0,0.022
-5.0,-16.0,0.023
14.0,-4.0,0.024
22.0,3.0,0.025
23.0,4.0,0.026
20.0,0.0,0.027
17.0,0.0,0.028
9.0,1.0,0.029
0.0,4.0,0.03
-2.0,4.0,0.031
2.0,2.0,0.032
5.0,0.0,0.033
2.0,-2.0,0.034
-2.0,-3.0,0.035
-5.0,-2.0,0.036
-7.0,1.0,0.037
-14.0,3.0,0.038
-19.0,0.0,0.039
-22.0,-8.0,0.04
-14.0,-18.0,0.041
-3.0,-16.0,0.042
13.0,-5.0,0.043
25.0,2.0,0.044
24.0,3.0,0.045
22.0,5.0,0.046
19.0,7.0,0.047
17.0,5.0,0.048
17.0,0.0,0.049
14.0,2.0,0.05
7.0,12.0,0.051
1.0,17.0,0.052
-3.0,11.0,0.053
-7.0,1.0,0.054
-10.0,-2.0,0.055
-13.0,-2.0,0.056
-13.0,-3.0,0.057
-11.0,-13.0,0.058
-1.0,-18.0,0.059
14.0,-17.0,0.06
21.0,-12.0,0.061
20.0,-6.0,0.062
17.0,-2.0,0.063
17.0,2.0,0.064
13.0,2.0,0.065
6.0,1.0,0.066
6.0,0.0,0.067
14.0,0.0,0.068
14.0,-1.0,0.069
-2.0,-2.0,0.07
-17.0,0.0,0.071
-22.0,3.0,0.072
-25.0,4.0,0.073
-32.0,-2.0,0.074
-31.0,-6.0,0.075
-14.0,-6.0,0.076
3.0,0.0,0.077
12.0,1.0,0.078
7.0,-2.0,0.079
1.0,-5.0,0.08
3.0,-9.0,0.081
