Deltoid,Bicep,Time
-1.0,-7.0,0.0
-4.0,-10.0,0.001
-6.0,-7.0,0.002
-1.0,-4.0,0.003
7.0,-2.0,0.004
10.0,-1.0,0.005
4.0,1.0,0.006
-2.0,3.0,0.007
-1.0,4.0,0.008
6.0,3.0,0.009
10.0,2.0,0.01
8.0,-1.0,0.011
5.0,-1.0,0.012
5.0,0.0,0.013
7.0,6.0,0.014
8.0,8.0,0.015
9.0,8.0,0.016
12.0,4.0,0.017
7.0,-1.0,0.018
1.0,-1.0,0.019
-3.0,3.0,0.02
-5.0,0.0,0.021
-7.0,-4.0,0.022
-3.0,-6.0,0.023
0.0,-1.0,0.024
1.0,4.0,0.025
2.0,2.0,0.026
4.0,-2.0,0.027
6.0,-3.0,0.028
6.0,-1.0,0.029
6.0,-2.0,0.03
8.0,-6.0,0.031
11.0,-4.0,0.032
9.0,1.0,0.033
8.0,4.0,0.034
8.0,1.0,0.035
8.0,-1.0,0.036
3.0,0.0,0.037
-1.0,-1.0,0.038
-3.0,-2.0,0.039
-5.0,-3.0,0.04
-7.0,-3.0,0.041
-6.0,-4.0,0.042
1.0,-7.0,0.043
9.0,-8.0,0.044
6.0,-4.0,0.045
-2.0,-1.0,0.046
-4.0,-2.0,0.047
1.0,-4.0,0.048
4.0,-1.0,0.049
0.0,2.0,0.05
-2.0,3.0,0.051
0.0,0.0,0.052
5.0,0.0,0.053
6.0,3.0,0.054
6.0,4.0,0.055
6.0,2.0,0.056
7.0,4.0,0.057
5.0,4.0,0.058
0.0,2.0,0.059
-5.0,-2.0,0.06
-8.0,-6.0,0.061
-8.0,-3.0,0.062
-1.0,-2.0,0.063
7.0,-3.0,0.064
11.0,-4.0,0.065
8.0,-1.0,0.066
4.0,2.0,0.067
5.0,-1.0,0.068
3.0,-3.0,0.069
3.0,-1.0,0.07
5.0,1.0,0.071
8.0,3.0,0.072
7.0,2.0,0.073
0.0,3.0,0.074
-2.0,6.0,0.075
1.0,7.0,0.076
6.0,5.0,0.077
4.0,2.0,0.078
-2.0,0.0,0.079
-6.0,-2.0,0.08
-8.0,-7.0,0.081
-8.0,-7.0,0.082
-3.0,-3.0,0.083
4.0,-1.0,0.084
6.0,-2.0,0.085
3.0,-2.0,0.086
1.0,0.0,0.087
6.0,0.0,0.088
8.0,0.0,0.089
4.0,0.0,0.09
3.0,-1.0,0.091
9.0,-2.0,0.092
9.0,-2.0,0.093
5.0,0.0,0.094
1.0,0.0,0.095
2.0,-2.0,0.096
5.0,-1.0,0.097
1.0,-1.0,0.098
-2.0,0.0,0.099
-3.0,-1.0,0.1
-5.0,-9.0,0.101
-7.0,-12.0,0.102
-3.0,-11.0,0.103
4.0,-5.0,0.104
5.0,5.0,0.105
2.0,10.0,0.106
0.0,7.0,0.107
2.0,2.0,0.108
5.0,2.0,0.109
5.0,3.0,0.11
6.0,0.0,0.111
10.0,-5.0,0.112
11.0,-3.0,0.113
6.0,2.0,0.114
3.0,1.0,0.115
1.0,-5.0,0.116
0.0,-8.0,0.117
-3.0,-7.0,0.118
-1.0,-7.0,0.119
-1.0,-7.0,0.12
-7.0,-7.0,0.121
-10.0,-7.0,0.122
-4.0,-5.0,0.123
0.0,-3.0,0.124
2.0,-2.0,0.125
5.0,-1.0,0.126
5.0,-1.0,0.127
6.0,0.0,0.128
6.0,-1.0,0.129
5.0,-1.0,0.13
5.0,3.0,0.131
5.0,6.0,0.132
6.0,5.0,0.133
6.0,4.0,0.134
4.0,4.0,0.135
2.0,3.0,0.136
3.0,0.0,0.137
5.0,-2.0,0.138
0.0,-1.0,0.139
-4.0,3.0,0.14
-6.0,1.0,0.141
-4.0,0.0,0.142
2.0,0.0,0.143
9.0,2.0,0.144
9.0,4.0,0.145
3.0,2.0,0.146
1.0,-1.0,0.147
5.0,-3.0,0.148
9.0,-1.0,0.149
8.0,-1.0,0.15
8.0,-5.0,0.151
9.0,-6.0,0.152
6.0,-4.0,0.153
1.0,-1.0,0.154
0.0,-1.0,0.155
2.0,-2.0,0.156
2.0,0.0,0.157
-2.0,4.0,0.158
-6.0,0.0,0.159
-9.0,-3.0,0.16
-9.0,-6.0,0.161
-6.0,-1.0,0.162
0.0,3.0,0.163
4.0,0.0,0.164
4.0,-5.0,0.165
3.0,-7.0,0.166
4.0,-9.0,0.167
5.0,-10.0,0.168
5.0,-6.0,0.169
6.0,1.0,0.17
8.0,4.0,0.171
10.0,-1.0,0.172
9.0,-5.0,0.173
8.0,0.0,0.174
9.0,8.0,0.175
10.0,11.0,0.176
10.0,8.0,0.177
10.0,0.0,0.178
3.0,-3.0,0.179
-2.0,-2.0,0.18
-8.0,-3.0,0.181
-13.0,-4.0,0.182
-11.0,-4.0,0.183
-4.0,-5.0,0.184
2.0,-6.0,0.185
4.0,-7.0,0.186
2.0,-7.0,0.187
2.0,-4.0,0.188
3.0,2.0,0.189
4.0,2.0,0.19
3.0,-1.0,0.191
3.0,-6.0,0.192
4.0,-4.0,0.193
6.0,0.0,0.194
8.0,0.0,0.195
10.0,-1.0,0.196
14.0,1.0,0.197
13.0,5.0,0.198
7.0,7.0,0.199
0.0,9.0,0.2
-4.0,9.0,0.201
-7.0,10.0,0.202
-4.0,5.0,0.203
2.0,-4.0,0.204
4.0,-10.0,0.205
-3.0,-7.0,0.206
-10.0,-4.0,0.207
-6.0,-6.0,0.208
1.0,-8.0,0.209
3.0,-6.0,0.21
0.0,-2.0,0.211
1.0,0.0,0.212
8.0,2.0,0.213
12.0,7.0,0.214
11.0,13.0,0.215
11.0,14.0,0.216
14.0,14.0,0.217
12.0,15.0,0.218
5.0,19.0,0.219
3.0,14.0,0.22
4.0,-2.0,0.221
2.0,-18.0,0.222
-3.0,-26.0,0.223
-3.0,-27.0,0.224
-3.0,-19.0,0.225
-9.0,-8.0,0.226
-14.0,-1.0,0.227
-9.0,0.0,0.228
1.0,-3.0,0.229
6.0,-5.0,0.23
8.0,-5.0,0.231
15.0,-2.0,0.232
25.0,3.0,0.233
29.0,3.0,0.234
24.0,-4.0,0.235
20.0,-10.0,0.236
17.0,-5.0,0.237
8.0,9.0,0.238
-1.0,21.0,0.239
-8.0,26.0,0.24
-13.0,24.0,0.241
-16.0,22.0,0.242
-21.0,9.0,0.243
-24.0,-8.0,0.244
-23.0,-15.0,0.245
-19.0,-4.0,0.246
-9.0,6.0,0.247
2.0,1.0,0.248
11.0,-10.0,0.249
14.0,-14.0,0.25
17.0,-10.0,0.251
22.0,-7.0,0.252
24.0,-7.0,0.253
19.0,-10.0,0.254
7.0,-15.0,0.255
-2.0,-20.0,0.256
-2.0,-19.0,0.257
-1.0,-11.0,0.258
0.0,2.0,0.259
1.0,9.0,0.26
3.0,3.0,0.261
0.0,-8.0,0.262
-2.0,-22.0,0.263
-2.0,-27.0,0.264
1.0,-19.0,0.265
2.0,-3.0,0.266
2.0,6.0,0.267
5.0,7.0,0.268
7.0,7.0,0.269
-2.0,12.0,0.27
-16.0,14.0,0.271
-21.0,6.0,0.272
-13.0,0.0,0.273
-4.0,5.0,0.274
-3.0,15.0,0.275
-4.0,18.0,0.276
4.0,17.0,0.277
14.0,12.0,0.278
20.0,1.0,0.279
16.0,-9.0,0.28
4.0,-20.0,0.281
-7.0,-24.0,0.282
-10.0,-4.0,0.283
-5.0,9.0,0.284
-4.0,3.0,0.285
-12.0,-1.0,0.286
-19.0,0.0,0.287
-15.0,0.0,0.288
0.0,-6.0,0.289
15.0,-10.0,0.29
25.0,-7.0,0.291
28.0,-2.0,0.292
24.0,7.0,0.293
18.0,15.0,0.294
15.0,12.0,0.295
14.0,8.0,0.296
6.0,6.0,0.297
-8.0,3.0,0.298
-19.0,-3.0,0.299
-27.0,-4.0,0.3
-23.0,0.0,0.301
-15.0,15.0,0.302
5.0,24.0,0.303
20.0,25.0,0.304
18.0,18.0,0.305
17.0,12.0,0.306
20.0,8.0,0.307
23.0,5.0,0.308
23.0,3.0,0.309
21.0,-4.0,0.31
12.0,-14.0,0.311
5.0,-22.0,0.312
5.0,-18.0,0.313
5.0,-8.0,0.314
