Deltoid,Bicep,Time,Bandpass_Filtered_Deltoid,Bandpass_Filtered_Bicep,RMS_Deltoid,RMS_Bicep
-1.0,1.0,0.17300000000000001,,,,
-1.0,-1.0,0.174,,,,
0.0,-2.0,0.175,,,,
-3.0,0.0,0.17600000000000002,,,,
-3.0,-3.0,0.177,,,,
0.0,-6.0,0.17800000000000002,,,,
7.0,-4.0,0.179,,,,
11.0,1.0,0.18,,,,
8.0,5.0,0.18100000000000002,,,,
3.0,3.0,0.182,,,,
2.0,0.0,0.183,,,,
7.0,-1.0,0.184,,,,
8.0,0.0,0.185,,,,
2.0,0.0,0.18600000000000003,,,,
-3.0,-2.0,0.187,,,,
-1.0,-3.0,0.188,,,,
3.0,-2.0,0.18899999999999997,,,,
4.0,-3.0,0.19,,,,
2.0,-2.0,0.191,,,,
1.0,-2.0,0.192,,,,
2.0,0.0,0.193,,,,
2.0,-2.0,0.19399999999999998,,,,
0.0,-2.0,0.195,,,,
-3.0,-4.0,0.196,,,,
-5.0,-7.0,0.19699999999999998,,,,
-3.0,-8.0,0.198,,,,
4.0,-6.0,0.19899999999999998,,,,
12.0,0.0,0.2,,,,
13.0,5.0,0.201,,,,
6.0,7.0,0.20199999999999999,,,,
1.0,7.0,0.203,,,,
4.0,4.0,0.204,,,,
6.0,0.0,0.205,,,,
4.0,-2.0,0.20600000000000002,,,,
0.0,-2.0,0.207,,,,
0.0,1.0,0.20800000000000002,,,,
2.0,3.0,0.209,,,,
0.0,1.0,0.21,,,,
-1.0,0.0,0.21100000000000002,,,,
2.0,0.0,0.212,,,,
6.0,3.0,0.213,,,,
4.0,3.0,0.214,,,,
0.0,0.0,0.215,,,,
-3.0,-3.0,0.21600000000000003,,,,
-5.0,-6.0,0.217,,,,
-4.0,-5.0,0.218,,,,
-1.0,-3.0,0.21899999999999997,,,,
7.0,0.0,0.22,,,,
9.0,-1.0,0.221,,,,
6.0,-2.0,0.222,,,,
3.0,0.0,0.223,,,,
5.0,0.0,0.22399999999999998,,,,
