Deltoid,Bicep,Time
10,-7,0.0
12,-2,0.001
6,4,0.002
2,5,0.003
3,-1,0.004
4,-5,0.005
4,-1,0.006
5,2,0.007
7,0,0.008
6,-2,0.009
1,-1,0.01
-2,3,0.011
-1,2,0.012
1,0,0.013
0,-2,0.014
-1,-3,0.015
-3,-2,0.016
-6,-5,0.017
-4,-3,0.018
4,-2,0.019
14,-4,0.02
14,-3,0.021
5,1,0.022
0,3,0.023
2,1,0.024
3,-1,0.025
3,0,0.026
3,0,0.027
3,-2,0.028
1,-2,0.029
-4,0,0.03
-5,0,0.031
-4,0,0.032
0,1,0.033
0,0,0.034
-1,-2,0.035
-5,-5,0.036
-9,-5,0.037
-10,-3,0.038
-4,-3,0.039
4,-3,0.04
10,0,0.041
6,5,0.042
1,1,0.043
1,-2,0.044
3,0,0.045
2,3,0.046
0,0,0.047
3,-5,0.048
6,-2,0.049
5,5,0.05
2,5,0.051
0,-2,0.052
0,-7,0.053
0,-6,0.054
0,-4,0.055
-1,-3,0.056
-2,-4,0.057
-4,-5,0.058
-1,-6,0.059
7,-6,0.06
12,-3,0.061
8,0,0.062
3,1,0.063
4,-2,0.064
6,-2,0.065
3,2,0.066
-1,4,0.067
0,1,0.068
2,-1,0.069
2,0,0.07
0,2,0.071
2,0,0.072
5,1,0.073
0,1,0.074
-3,-1,0.075
-6,-5,0.076
-8,-9,0.077
-9,-4,0.078
-3,1,0.079
7,2,0.08
15,1,0.081
12,1,0.082
4,0,0.083
3,-2,0.084
6,-2,0.085
7,2,0.086
8,2,0.087
8,-2,0.088
5,-2,0.089
0,2,0.09
1,5,0.091
7,3,0.092
9,1,0.093
1,1,0.094
-4,1,0.095
-5,-1,0.096
-3,-6,0.097
-2,-5,0.098
1,-1,0.099
9,-2,0.1
12,-3,0.101
5,0,0.102
0,0,0.103
3,-2,0.104
6,-3,0.105
2,-1,0.106
-3,2,0.107
-4,2,0.108
-2,-1,0.109
0,-2,0.11
2,0,0.111
4,0,0.112
4,-1,0.113
0,-2,0.114
-3,-1,0.115
-4,-1,0.116
-7,-5,0.117
-8,-6,0.118
-1,-4,0.119
7,-3,0.12
9,-4,0.121
1,-2,0.122
0,3,0.123
4,3,0.124
4,1,0.125
0,-1,0.126
0,0,0.127
8,0,0.128
10,-2,0.129
3,0,0.13
-4,3,0.131
-2,2,0.132
3,2,0.133
5,1,0.134
2,2,0.135
-1,0,0.136
-3,-5,0.137
-3,-4,0.138
0,0,0.139
7,1,0.14
7,0,0.141
3,3,0.142
0,7,0.143
3,5,0.144
5,0,0.145
4,-4,0.146
2,-2,0.147
3,-2,0.148
2,-3,0.149
0,-1,0.15
1,4,0.151
6,3,0.152
11,1,0.153
7,-1,0.154
2,0,0.155
-3,1,0.156
-4,-3,0.157
-3,-4,0.158
2,-2,0.159
9,-2,0.16
9,-2,0.161
1,0,0.162
-2,0,0.163
2,-2,0.164
8,-5,0.165
7,-5,0.166
2,-1,0.167
1,-1,0.168
1,-4,0.169
0,-4,0.17
0,0,0.171
1,0,0.172
3,0,0.173
1,0,0.174
0,0,0.175
0,-4,0.176
-3,-10,0.177
-5,-7,0.178
0,1,0.179
12,5,0.18
16,1,0.181
10,-1,0.182
8,-3,0.183
16,-3,0.184
21,-1,0.185
17,2,0.186
9,6,0.187
7,5,0.188
4,0,0.189
-1,-2,0.19
-4,-3,0.191
-3,-2,0.192
-1,0,0.193
-3,-1,0.194
-6,-3,0.195
-10,-4,0.196
-12,-5,0.197
-11,-3,0.198
-5,-2,0.199
0,-1,0.2
-1,2,0.201
-3,5,0.202
-1,4,0.203
3,0,0.204
3,-1,0.205
-1,1,0.206
-2,1,0.207
2,-2,0.208
5,-5,0.209
2,-2,0.21
0,1,0.211
2,2,0.212
4,1,0.213
2,-2,0.214
0,-2,0.215
-2,0,0.216
-5,-3,0.217
-5,-4,0.218
2,-3,0.219
11,0,0.22
13,4,0.221
7,5,0.222
2,3,0.223
5,0,0.224
9,-1,0.225
7,1,0.226
5,2,0.227
4,1,0.228
5,0,0.229
3,-1,0.23
2,-2,0.231
2,-3,0.232
3,-1,0.233
2,-2,0.234
1,-2,0.235
-2,-1,0.236
-4,-4,0.237
-6,-5,0.238
-1,-7,0.239
6,-6,0.24
7,-2,0.241
3,2,0.242
1,3,0.243
6,0,0.244
9,-1,0.245
6,1,0.246
0,5,0.247
0,6,0.248
2,3,0.249
1,-1,0.25
-2,-1,0.251
-1,1,0.252
3,3,0.253
4,0,0.254
1,-1,0.255
-3,0,0.256
-5,-2,0.257
-3,-4,0.258
3,-6,0.259
11,-4,0.26
12,-2,0.261
7,0,0.262
2,0,0.263
2,0,0.264
1,-2,0.265
1,-3,0.266
2,-1,0.267
4,-1,0.268
4,-2,0.269
0,-1,0.27
-1,1,0.271
2,1,0.272
6,0,0.273
5,-2,0.274
2,-1,0.275
-1,0,0.276
-5,-4,0.277
-7,-7,0.278
-2,-6,0.279
6,-3,0.28
8,-2,0.281
1,0,0.282
