Deltoid,Bicep,Time
20,-17,0.0
20,27,0.001
11,68,0.002
6,67,0.003
10,30,0.004
16,5,0.005
18,17,0.006
18,35,0.007
20,38,0.008
21,73,0.009
22,192,0.01
25,357,0.011
31,446,0.012
37,394,0.013
35,261,0.014
29,184,0.015
22,185,0.016
14,118,0.017
7,-93,0.018
7,-328,0.019
8,-436,0.02
12,-461,0.021
14,-517,0.022
11,-513,0.023
8,-283,0.024
4,62,0.025
-2,219,0.026
-13,158,0.027
-22,167,0.028
-23,330,0.029
-25,311,0.03
-28,-131,0.031
-30,-733,0.032
-26,-1072,0.033
-22,-1123,0.034
-19,-1028,0.035
-13,-732,0.036
-7,-67,0.037
-1,776,0.038
8,1280,0.039
23,1231,0.04
31,944,0.041
27,769,0.042
22,656,0.043
21,380,0.044
21,-65,0.045
14,-469,0.046
5,-686,0.047
0,-765,0.048
-6,-865,0.049
-16,-1065,0.05
-23,-1227,0.051
-23,-1120,0.052
-20,-753,0.053
-23,-309,0.054
-29,5,0.055
-34,230,0.056
-34,452,0.057
-29,576,0.058
-20,477,0.059
-8,269,0.06
0,178,0.061
4,246,0.062
9,351,0.063
14,437,0.064
14,561,0.065
10,729,0.066
10,859,0.067
13,890,0.068
12,834,0.069
7,718,0.07
-1,545,0.071
-4,315,0.072
-1,51,0.073
11,-261,0.074
23,-545,0.075
24,-692,0.076
19,-662,0.077
20,-516,0.078
29,-343,0.079
36,-172,0.08
30,-9,0.081
18,91,0.082
13,65,0.083
12,-31,0.084
4,-70,0.085
-6,-8,0.086
-11,64,0.087
-9,65,0.088
-7,34,0.089
-10,37,0.09
-11,60,0.091
-7,59,0.092
3,53,0.093
10,97,0.094
16,204,0.095
13,339,0.096
5,452,0.097
3,487,0.098
6,382,0.099
0,146,0.1
-29,-97,0.101
-84,-231,0.102
-146,-264,0.103
-190,-309,0.104
-202,-446,0.105
-176,-657,0.106
-117,-843,0.107
-34,-894,0.108
66,-775,0.109
172,-540,0.11
254,-267,0.111
274,-12,0.112
236,165,0.113
165,227,0.114
112,203,0.115
86,193,0.116
70,241,0.117
52,284,0.118
35,267,0.119
19,236,0.12
-3,239,0.121
-22,242,0.122
-37,213,0.123
-55,183,0.124
-88,174,0.125
-116,135,0.126
-106,38,0.127
-60,-62,0.128
1,-106,0.129
60,-105,0.13
104,-93,0.131
119,-65,0.132
102,-21,0.133
67,9,0.134
43,5,0.135
39,-6,0.136
52,-2,0.137
63,12,0.138
54,18,0.139
13,19,0.14
-40,24,0.141
-68,19,0.142
-65,3,0.143
-60,-5,0.144
-69,0,0.145
-74,4,0.146
-59,0,0.147
-36,-4,0.148
-29,-5,0.149
-42,-10,0.15
-54,-22,0.151
-64,-28,0.152
-72,-21,0.153
-79,-14,0.154
-75,-13,0.155
-67,-12,0.156
-57,-14,0.157
-42,-15,0.158
-18,-15,0.159
6,-9,0.16
19,-6,0.161
22,-8,0.162
19,-11,0.163
13,-12,0.164
-3,-12,0.165
-18,-12,0.166
-19,-10,0.167
-10,-7,0.168
-3,-6,0.169
-2,-5,0.17
0,-1,0.171
11,3,0.172
22,4,0.173
31,-1,0.174
42,-4,0.175
58,-4,0.176
74,-4,0.177
83,-2,0.178
82,2,0.179
79,2,0.18
70,0,0.181
58,-2,0.182
44,-1,0.183
29,3,0.184
13,3,0.185
-6,4,0.186
-27,4,0.187
-40,4,0.188
-39,0,0.189
-30,-5,0.19
-27,-8,0.191
-29,-8,0.192
-28,-5,0.193
-20,1,0.194
-4,7,0.195
7,7,0.196
12,1,0.197
8,-2,0.198
6,0,0.199
6,2,0.2
3,4,0.201
-2,6,0.202
-7,7,0.203
-5,4,0.204
-3,-2,0.205
-2,-4,0.206
-3,0,0.207
-3,5,0.208
-1,5,0.209
0,3,0.21
4,1,0.211
7,1,0.212
7,1,0.213
5,0,0.214
5,-2,0.215
5,-6,0.216
7,-10,0.217
9,-11,0.218
13,-8,0.219
13,-4,0.22
4,0,0.221
-4,1,0.222
-5,0,0.223
-2,-2,0.224
-3,-4,0.225
-9,-9,0.226
-10,-12,0.227
-5,-8,0.228
1,1,0.229
8,9,0.23
13,8,0.231
13,3,0.232
7,7,0.233
0,9,0.234
6,6,0.235
16,-5,0.236
17,-14,0.237
14,-11,0.238
16,-2,0.239
22,5,0.24
22,9,0.241
14,9,0.242
4,7,0.243
3,2,0.244
6,1,0.245
9,8,0.246
7,12,0.247
2,7,0.248
-3,-1,0.249
-5,-5,0.25
-7,-6,0.251
-7,-6,0.252
-6,-6,0.253
-8,-9,0.254
-7,-9,0.255
-9,-7,0.256
-9,-5,0.257
-10,-4,0.258
-11,-3,0.259
-14,-1,0.26
-17,4,0.261
-16,9,0.262
-11,8,0.263
-5,6,0.264
3,3,0.265
15,0,0.266
28,-2,0.267
37,-4,0.268
38,-3,0.269
39,-2,0.27
39,-4,0.271
35,-5,0.272
27,-3,0.273
17,0,0.274
8,0,0.275
-2,-2,0.276
-14,-6,0.277
-22,-7,0.278
-24,-6,0.279
-18,-3,0.28
-10,1,0.281
-10,4,0.282
-15,4,0.283
-21,3,0.284
-25,2,0.285
-26,1,0.286
-29,3,0.287
-33,5,0.288
-31,4,0.289
-18,-2,0.29
3,-6,0.291
25,-4,0.292
38,3,0.293
39,4,0.294
34,2,0.295
28,2,0.296
31,3,0.297
39,4,0.298
43,0,0.299
30,-4,0.3
11,-5,0.301
-2,-3,0.302
-4,1,0.303
-8,2,0.304
-19,0,0.305
-25,-3,0.306
-21,-6,0.307
-13,-3,0.308
-14,0,0.309
-24,0,0.31
-30,-7,0.311
-30,-12,0.312
-22,-6,0.313
-8,6,0.314
8,11,0.315
20,3,0.316
22,-10,0.317
24,-12,0.318
33,-5,0.319
46,-1,0.32
50,-3,0.321
42,-4,0.322
29,1,0.323
20,7,0.324
7,11,0.325
-9,12,0.326
-19,10,0.327
-18,7,0.328
-19,1,0.329
-22,0,0.33
-23,0,0.331
-15,-1,0.332
-9,-4,0.333
-13,-6,0.334
-16,-4,0.335
-12,-6,0.336
-4,-17,0.337
2,-25,0.338
13,-19,0.339
27,-8,0.34
29,-2,0.341
15,-1,0.342
0,-1,0.343
0,3,0.344
5,5,0.345
2,5,0.346
-2,6,0.347
0,7,0.348
4,9,0.349
1,7,0.35
-3,6,0.351
-4,4,0.352
-2,3,0.353
-4,2,0.354
-6,-1,0.355
-5,-6,0.356
-2,-10,0.357
0,-10,0.358
3,-7,0.359
8,-7,0.36
7,-4,0.361
1,3,0.362
-3,8,0.363
0,2,0.364
3,-3,0.365
0,0,0.366
-4,7,0.367
-6,5,0.368
-5,0,0.369
-3,-1,0.37
0,2,0.371
4,2,0.372
10,0,0.373
14,0,0.374
16,1,0.375
11,0,0.376
4,-5,0.377
1,-5,0.378
6,-3,0.379
15,-1,0.38
14,2,0.381
5,5,0.382
0,5,0.383
-1,3,0.384
-4,3,0.385
-8,6,0.386
-11,6,0.387
-8,1,0.388
-8,-3,0.389
-6,-2,0.39
2,0,0.391
16,-2,0.392
28,-2,0.393
29,-6,0.394
21,-10,0.395
9,-10,0.396
0,-10,0.397
0,-6,0.398
3,-4,0.399
3,-4,0.4
-2,-2,0.401
-2,2,0.402
6,5,0.403
14,2,0.404
15,0,0.405
5,2,0.406
-6,2,0.407
-13,1,0.408
-13,3,0.409
-10,6,0.41
-5,7,0.411
-2,1,0.412
0,-5,0.413
1,-10,0.414
7,-7,0.415
15,0,0.416
21,-1,0.417
22,-3,0.418
20,1,0.419
17,8,0.42
11,8,0.421
2,-5,0.422
-5,-16,0.423
-7,-14,0.424
-6,-6,0.425
-5,-1,0.426
-6,0,0.427
-5,5,0.428
-3,10,0.429
0,7,0.43
1,-1,0.431
1,-9,0.432
-1,-10,0.433
-5,-9,0.434
-6,-4,0.435
-6,-3,0.436
-7,-8,0.437
-8,-8,0.438
-5,-3,0.439
3,2,0.44
8,0,0.441
7,-2,0.442
7,3,0.443
10,8,0.444
9,4,0.445
2,-3,0.446
1,-3,0.447
4,2,0.448
5,4,0.449
0,2,0.45
-2,4,0.451
-3,3,0.452
-1,-1,0.453
-2,-6,0.454
-3,-3,0.455
-5,3,0.456
-8,-2,0.457
-9,-6,0.458
0,-7,0.459
13,0,0.46
17,3,0.461
12,5,0.462
9,6,0.463
8,5,0.464
7,1,0.465
3,-3,0.466
3,-4,0.467
5,-5,0.468
2,-6,0.469
-1,-4,0.47
0,-1,0.471
7,1,0.472
9,2,0.473
4,-1,0.474
0,-2,0.475
-4,-1,0.476
-4,-1,0.477
-3,0,0.478
3,2,0.479
8,3,0.48
4,1,0.481
0,0,0.482
-3,-3,0.483
-6,-2,0.484
-6,0,0.485
-4,2,0.486
-2,0,0.487
-1,-1,0.488
0,0,0.489
1,0,0.49
0,-2,0.491
-2,-3,0.492
-2,0,0.493
-3,4,0.494
-5,2,0.495
-11,-1,0.496
-13,-5,0.497
-11,-2,0.498
-2,17,0.499
9,60,0.5
15,122,0.501
15,178,0.502
15,218,0.503
18,240,0.504
18,231,0.505
13,153,0.506
4,-5,0.507
-2,-193,0.508
-6,-333,0.509
-9,-393,0.51
-5,-367,0.511
4,-222,0.512
15,31,0.513
22,310,0.514
23,437,0.515
19,353,0.516
12,205,0.517
6,143,0.518
6,117,0.519
7,-8,0.52
1,-224,0.521
-3,-386,0.522
-2,-438,0.523
2,-443,0.524
-2,-437,0.525
-8,-347,0.526
-5,-137,0.527
5,103,0.528
13,263,0.529
14,339,0.53
17,399,0.531
23,439,0.532
24,386,0.533
15,202,0.534
3,-2,0.535
-5,-99,0.536
-9,-119,0.537
-6,-201,0.538
2,-381,0.539
12,-525,0.54
12,-530,0.541
7,-460,0.542
12,-389,0.543
25,-238,0.544
32,59,0.545
26,355,0.546
15,459,0.547
6,453,0.548
-1,581,0.549
-7,800,0.55
-10,761,0.551
-9,316,0.552
-10,-188,0.553
-15,-480,0.554
-16,-628,0.555
-19,-883,0.556
-24,-1185,0.557
-28,-1228,0.558
-28,-983,0.559
-29,-707,0.56
-29,-504,0.561
-29,-219,0.562
-25,168,0.563
-19,444,0.564
-5,504,0.565
8,507,0.566
20,620,0.567
30,834,0.568
30,1058,0.569
26,1197,0.57
14,1116,0.571
3,768,0.572
-1,351,0.573
-6,4,0.574
-15,-257,0.575
-21,-494,0.576
-23,-614,0.577
-19,-484,0.578
-9,-219,0.579
4,-42,0.58
12,45,0.581
16,183,0.582
19,365,0.583
24,468,0.584
25,481,0.585
18,446,0.586
9,313,0.587
2,58,0.588
0,-173,0.589
-3,-259,0.59
-1,-268,0.591
8,-259,0.592
18,-120,0.593
22,183,0.594
16,643,0.595
6,881,0.596
-2,645,0.597
-5,-30,0.598
0,-857,0.599
8,-1451,0.6
9,-1621,0.601
1,-1516,0.602
-5,-1342,0.603
-4,-1053,0.604
6,-550,0.605
16,-4,0.606
27,390,0.607
41,748,0.608
46,1199,0.609
37,1471,0.61
18,1245,0.611
1,728,0.612
-8,378,0.613
-16,162,0.614
-22,-168,0.615
-27,-552,0.616
-25,-677,0.617
-15,-556,0.618
0,-475,0.619
11,-482,0.62
10,-375,0.621
3,-115,0.622
8,107,0.623
21,170,0.624
25,87,0.625
14,-130,0.626
3,-454,0.627
2,-747,0.628
3,-844,0.629
0,-692,0.63
-1,-351,0.631
2,65,0.632
5,394,0.633
0,561,0.634
-6,590,0.635
-13,592,0.636
-20,607,0.637
-24,592,0.638
-20,530,0.639
-10,473,0.64
-8,440,0.641
-15,391,0.642
-17,312,0.643
-13,242,0.644
-7,198,0.645
-4,157,0.646
-4,110,0.647
-3,74,0.648
-4,49,0.649
-5,20,0.65
-2,-10,0.651
4,-30,0.652
7,-45,0.653
6,-69,0.654
7,-90,0.655
8,-93,0.656
7,-93,0.657
5,-98,0.658
10,-102,0.659
16,-94,0.66
15,-84,0.661
7,-83,0.662
5,-87,0.663
8,-84,0.664
8,-79,0.665
5,-77,0.666
6,-75,0.667
8,-71,0.668
