Deltoid,Bicep,Time
26.0,-37.0,0.0
9.0,-27.0,0.001
-13.0,-22.0,0.002
-21.0,-24.0,0.003
-13.0,-22.0,0.004
-7.0,-9.0,0.005
-9.0,5.0,0.006
-8.0,9.0,0.007
2.0,6.0,0.008
11.0,8.0,0.009
14.0,14.0,0.01
24.0,15.0,0.011
47.0,11.0,0.012
59.0,13.0,0.013
34.0,21.0,0.014
-9.0,23.0,0.015
-31.0,14.0,0.016
-27.0,6.0,0.017
-21.0,5.0,0.018
-26.0,8.0,0.019
-29.0,6.0,0.02
-23.0,-1.0,0.021
-17.0,-1.0,0.022
-9.0,1.0,0.023
-1.0,1.0,0.024
3.0,0.0,0.025
6.0,2.0,0.026
6.0,3.0,0.027
10.0,-1.0,0.028
29.0,-4.0,0.029
45.0,-4.0,0.03
50.0,-1.0,0.031
49.0,0.0,0.032
30.0,0.0,0.033
11.0,1.0,0.034
-3.0,2.0,0.035
-11.0,0.0,0.036
6.0,0.0,0.037
29.0,-2.0,0.038
58.0,-1.0,0.039
64.0,-1.0,0.04
33.0,-1.0,0.041
-19.0,-1.0,0.042
-60.0,-3.0,0.043
-82.0,-6.0,0.044
-94.0,-5.0,0.045
-104.0,0.0,0.046
-106.0,1.0,0.047
-94.0,-5.0,0.048
-73.0,-10.0,0.049
-52.0,-4.0,0.05
-32.0,6.0,0.051
-13.0,11.0,0.052
7.0,4.0,0.053
30.0,1.0,0.054
47.0,3.0,0.055
50.0,6.0,0.056
45.0,10.0,0.057
38.0,14.0,0.058
38.0,18.0,0.059
35.0,10.0,0.06
29.0,-14.0,0.061
26.0,-28.0,0.062
34.0,-22.0,0.063
40.0,-5.0,0.064
40.0,7.0,0.065
39.0,3.0,0.066
38.0,-11.0,0.067
35.0,-29.0,0.068
28.0,-43.0,0.069
21.0,-41.0,0.07
13.0,-24.0,0.071
2.0,-3.0,0.072
-14.0,10.0,0.073
-26.0,12.0,0.074
-23.0,8.0,0.075
-20.0,2.0,0.076
-24.0,2.0,0.077
-28.0,3.0,0.078
-31.0,7.0,0.079
-27.0,10.0,0.08
-21.0,10.0,0.081
-13.0,11.0,0.082
-3.0,9.0,0.083
9.0,7.0,0.084
25.0,5.0,0.085
43.0,3.0,0.086
56.0,3.0,0.087
48.0,2.0,0.088
18.0,4.0,0.089
-10.0,6.0,0.09
-16.0,4.0,0.091
-7.0,2.0,0.092
-7.0,0.0,0.093
-14.0,-1.0,0.094
-13.0,-3.0,0.095
-2.0,-4.0,0.096
8.0,1.0,0.097
10.0,7.0,0.098
9.0,6.0,0.099
7.0,1.0,0.1
4.0,-3.0,0.101
4.0,-3.0,0.102
14.0,-2.0,0.103
22.0,-1.0,0.104
26.0,2.0,0.105
28.0,6.0,0.106
26.0,1.0,0.107
20.0,-7.0,0.108
2.0,-10.0,0.109
-13.0,-8.0,0.11
-20.0,-4.0,0.111
-26.0,0.0,0.112
-26.0,3.0,0.113
-25.0,2.0,0.114
-20.0,0.0,0.115
-13.0,-4.0,0.116
-3.0,-1.0,0.117
4.0,0.0,0.118
-6.0,2.0,0.119
-19.0,3.0,0.12
-22.0,-2.0,0.121
-11.0,-7.0,0.122
5.0,-9.0,0.123
13.0,-9.0,0.124
12.0,-2.0,0.125
13.0,4.0,0.126
20.0,9.0,0.127
31.0,13.0,0.128
33.0,12.0,0.129
25.0,9.0,0.13
13.0,1.0,0.131
1.0,-5.0,0.132
-5.0,-5.0,0.133
-10.0,-6.0,0.134
-14.0,-6.0,0.135
-17.0,-5.0,0.136
-20.0,0.0,0.137
-26.0,4.0,0.138
-24.0,3.0,0.139
-19.0,-2.0,0.14
-4.0,-7.0,0.141
7.0,-5.0,0.142
6.0,0.0,0.143
4.0,1.0,0.144
0.0,3.0,0.145
-4.0,4.0,0.146
-4.0,4.0,0.147
0.0,1.0,0.148
16.0,-3.0,0.149
28.0,-7.0,0.15
24.0,-12.0,0.151
18.0,-16.0,0.152
7.0,-9.0,0.153
0.0,2.0,0.154
5.0,4.0,0.155
9.0,-3.0,0.156
11.0,-6.0,0.157
13.0,-4.0,0.158
4.0,0.0,0.159
-8.0,-2.0,0.16
-11.0,-5.0,0.161
-2.0,-1.0,0.162
13.0,3.0,0.163
19.0,3.0,0.164
16.0,3.0,0.165
12.0,7.0,0.166
12.0,5.0,0.167
13.0,-3.0,0.168
8.0,-6.0,0.169
3.0,-2.0,0.17
1.0,0.0,0.171
1.0,-7.0,0.172
-1.0,-10.0,0.173
-2.0,-6.0,0.174
5.0,1.0,0.175
17.0,6.0,0.176
22.0,9.0,0.177
15.0,11.0,0.178
3.0,9.0,0.179
-4.0,2.0,0.18
-8.0,-5.0,0.181
-7.0,-2.0,0.182
-3.0,3.0,0.183
3.0,2.0,0.184
1.0,2.0,0.185
-9.0,2.0,0.186
-15.0,0.0,0.187
-13.0,-4.0,0.188
-5.0,-1.0,0.189
-5.0,4.0,0.19
-10.0,3.0,0.191
-13.0,-3.0,0.192
-9.0,-5.0,0.193
-5.0,-2.0,0.194
-5.0,-2.0,0.195
-5.0,-5.0,0.196
1.0,-2.0,0.197
14.0,2.0,0.198
31.0,3.0,0.199
41.0,-2.0,0.2
39.0,-6.0,0.201
29.0,-5.0,0.202
19.0,-3.0,0.203
11.0,-1.0,0.204
-1.0,4.0,0.205
-20.0,7.0,0.206
-40.0,3.0,0.207
-46.0,-3.0,0.208
-36.0,-3.0,0.209
-16.0,0.0,0.21
-1.0,-2.0,0.211
0.0,-4.0,0.212
-3.0,-1.0,0.213
-1.0,2.0,0.214
13.0,0.0,0.215
35.0,-3.0,0.216
52.0,0.0,0.217
8.0,0.0,0.218
-5.0,-2.0,0.219
-6.0,-7.0,0.22
-3.0,-10.0,0.221
-11.0,-9.0,0.222
-20.0,-10.0,0.223
-23.0,-8.0,0.224
-24.0,-1.0,0.225
-26.0,3.0,0.226
-25.0,1.0,0.227
-16.0,-2.0,0.228
-9.0,0.0,0.229
-11.0,1.0,0.23
-18.0,0.0,0.231
-18.0,-3.0,0.232
-7.0,0.0,0.233
5.0,3.0,0.234
14.0,3.0,0.235
20.0,3.0,0.236
25.0,7.0,0.237
26.0,6.0,0.238
21.0,0.0,0.239
19.0,-2.0,0.24
31.0,2.0,0.241
53.0,9.0,0.242
66.0,8.0,0.243
55.0,3.0,0.244
30.0,5.0,0.245
11.0,8.0,0.246
13.0,6.0,0.247
27.0,0.0,0.248
39.0,-4.0,0.249
35.0,-4.0,0.25
4.0,-3.0,0.251
-42.0,-5.0,0.252
-83.0,-9.0,0.253
-96.0,-13.0,0.254
-78.0,-17.0,0.255
-53.0,-16.0,0.256
-33.0,-8.0,0.257
-22.0,-1.0,0.258
-15.0,3.0,0.259
-15.0,4.0,0.26
-18.0,2.0,0.261
-13.0,2.0,0.262
5.0,1.0,0.263
23.0,3.0,0.264
23.0,9.0,0.265
17.0,12.0,0.266
18.0,7.0,0.267
29.0,-1.0,0.268
36.0,-1.0,0.269
40.0,2.0,0.27
53.0,1.0,0.271
65.0,-5.0,0.272
54.0,-10.0,0.273
19.0,-8.0,0.274
-7.0,0.0,0.275
-8.0,6.0,0.276
-1.0,7.0,0.277
-7.0,1.0,0.278
-17.0,-5.0,0.279
-27.0,-6.0,0.28
-33.0,-8.0,0.281
-35.0,-6.0,0.282
-21.0,-4.0,0.283
-7.0,1.0,0.284
5.0,5.0,0.285
12.0,7.0,0.286
4.0,8.0,0.287
0.0,11.0,0.288
9.0,11.0,0.289
18.0,6.0,0.29
22.0,-2.0,0.291
24.0,-7.0,0.292
16.0,-7.0,0.293
8.0,-6.0,0.294
0.0,-6.0,0.295
-3.0,-5.0,0.296
6.0,-1.0,0.297
16.0,0.0,0.298
16.0,-1.0,0.299
17.0,-2.0,0.3
22.0,-3.0,0.301
25.0,-2.0,0.302
28.0,0.0,0.303
26.0,1.0,0.304
19.0,4.0,0.305
12.0,0.0,0.306
4.0,-12.0,0.307
