Deltoid,Bicep,Time
0.0,-12.0,0.0
-4.0,-20.0,0.001
-3.0,-17.0,0.002
8.0,-11.0,0.003
18.0,-9.0,0.004
19.0,-8.0,0.005
15.0,-7.0,0.006
13.0,-7.0,0.007
12.0,-7.0,0.008
6.0,-6.0,0.009
-2.0,-2.0,0.01
-8.0,1.0,0.011
-10.0,3.0,0.012
-13.0,4.0,0.013
-14.0,4.0,0.014
-12.0,5.0,0.015
-10.0,7.0,0.016
-10.0,8.0,0.017
-15.0,7.0,0.018
-16.0,4.0,0.019
-12.0,-1.0,0.02
-7.0,-20.0,0.021
-2.0,-43.0,0.022
5.0,-50.0,0.023
16.0,-23.0,0.024
21.0,20.0,0.025
19.0,47.0,0.026
17.0,45.0,0.027
18.0,37.0,0.028
19.0,39.0,0.029
17.0,45.0,0.03
15.0,39.0,0.031
13.0,22.0,0.032
7.0,0.0,0.033
-2.0,-21.0,0.034
-10.0,-41.0,0.035
-10.0,-52.0,0.036
-5.0,-49.0,0.037
-4.0,-45.0,0.038
-5.0,-43.0,0.039
-5.0,-41.0,0.04
-4.0,-31.0,0.041
0.0,-12.0,0.042
7.0,5.0,0.043
18.0,17.0,0.044
20.0,23.0,0.045
13.0,29.0,0.046
-1.0,30.0,0.047
-6.0,23.0,0.048
-4.0,12.0,0.049
1.0,0.0,0.05
6.0,-3.0,0.051
10.0,-3.0,0.052
12.0,0.0,0.053
13.0,6.0,0.054
12.0,13.0,0.055
10.0,24.0,0.056
11.0,41.0,0.057
12.0,48.0,0.058
10.0,23.0,0.059
3.0,-44.0,0.06
-4.0,-119.0,0.061
-11.0,-131.0,0.062
-13.0,-68.0,0.063
-11.0,11.0,0.064
-13.0,45.0,0.065
-15.0,37.0,0.066
-15.0,31.0,0.067
-9.0,32.0,0.068
-1.0,27.0,0.069
2.0,17.0,0.07
3.0,28.0,0.071
2.0,55.0,0.072
4.0,59.0,0.073
4.0,22.0,0.074
5.0,-28.0,0.075
5.0,-49.0,0.076
8.0,-32.0,0.077
8.0,-4.0,0.078
5.0,9.0,0.079
1.0,6.0,0.08
-2.0,-1.0,0.081
0.0,1.0,0.082
11.0,0.0,0.083
21.0,-11.0,0.084
21.0,-26.0,0.085
12.0,-32.0,0.086
4.0,-26.0,0.087
4.0,-13.0,0.088
2.0,-2.0,0.089
-4.0,3.0,0.09
-8.0,4.0,0.091
-4.0,4.0,0.092
-3.0,-1.0,0.093
-7.0,-15.0,0.094
-12.0,-29.0,0.095
-12.0,-26.0,0.096
-6.0,0.0,0.097
-3.0,26.0,0.098
-1.0,33.0,0.099
1.0,16.0,0.1
1.0,-4.0,0.101
0.0,-9.0,0.102
3.0,-4.0,0.103
13.0,7.0,0.104
18.0,23.0,0.105
16.0,34.0,0.106
12.0,37.0,0.107
12.0,34.0,0.108
10.0,29.0,0.109
1.0,21.0,0.11
-2.0,10.0,0.111
2.0,-4.0,0.112
5.0,-12.0,0.113
0.0,-16.0,0.114
-5.0,-19.0,0.115
-2.0,-23.0,0.116
8.0,-22.0,0.117
9.0,-19.0,0.118
3.0,-12.0,0.119
-4.0,-5.0,0.12
-7.0,-2.0,0.121
-7.0,0.0,0.122
-1.0,3.0,0.123
8.0,6.0,0.124
14.0,7.0,0.125
14.0,3.0,0.126
12.0,-1.0,0.127
13.0,-3.0,0.128
11.0,-3.0,0.129
8.0,-1.0,0.13
5.0,2.0,0.131
2.0,4.0,0.132
-3.0,3.0,0.133
-14.0,-1.0,0.134
-20.0,-7.0,0.135
-15.0,-9.0,0.136
-5.0,-11.0,0.137
-1.0,-17.0,0.138
1.0,-19.0,0.139
4.0,-10.0,0.14
7.0,9.0,0.141
9.0,37.0,0.142
15.0,50.0,0.143
23.0,34.0,0.144
24.0,-5.0,0.145
17.0,-42.0,0.146
11.0,-57.0,0.147
14.0,-53.0,0.148
14.0,-49.0,0.149
2.0,-45.0,0.15
-11.0,-36.0,0.151
-12.0,-20.0,0.152
-4.0,-6.0,0.153
-4.0,7.0,0.154
