Deltoid,Bicep,Time
74,17,0.0
62,15,0.001
26,10,0.002
-12,3,0.003
-27,-2,0.004
-26,-4,0.005
-36,-3,0.006
-55,-2,0.007
-68,-6,0.008
-63,-11,0.009
-49,-14,0.01
-32,-15,0.011
-11,-15,0.012
12,-11,0.013
30,-7,0.014
40,-1,0.015
42,4,0.016
39,3,0.017
32,5,0.018
27,8,0.019
22,8,0.02
16,5,0.021
10,6,0.022
11,7,0.023
16,2,0.024
13,-5,0.025
2,-10,0.026
-5,-8,0.027
-4,0,0.028
-2,8,0.029
-6,9,0.03
-11,3,0.031
-14,-4,0.032
-18,-3,0.033
-30,-3,0.034
-40,-7,0.035
-39,-19,0.036
-28,-29,0.037
-12,-21,0.038
4,-10,0.039
22,-1,0.04
42,0,0.041
58,4,0.042
67,9,0.043
60,10,0.044
41,8,0.045
23,3,0.046
18,0,0.047
23,1,0.048
28,3,0.049
27,3,0.05
21,0,0.051
14,-2,0.052
10,1,0.053
5,6,0.054
-3,5,0.055
-16,1,0.056
-29,0,0.057
-33,3,0.058
-26,4,0.059
-12,4,0.06
0,6,0.061
4,12,0.062
-3,14,0.063
-11,8,0.064
-15,0,0.065
-21,-4,0.066
-42,-8,0.067
-71,-16,0.068
-82,-19,0.069
-64,-11,0.07
-33,0,0.071
-10,7,0.072
1,6,0.073
5,1,0.074
12,-3,0.075
11,-10,0.076
8,-18,0.077
13,-17,0.078
26,-10,0.079
47,-5,0.08
69,0,0.081
83,8,0.082
84,12,0.083
67,11,0.084
39,5,0.085
14,3,0.086
-2,5,0.087
-14,-3,0.088
-28,-14,0.089
-41,-20,0.09
-46,-15,0.091
-48,-12,0.092
-45,-16,0.093
-37,-19,0.094
-21,-12,0.095
-1,-5,0.096
15,-3,0.097
23,-1,0.098
28,0,0.099
34,1,0.1
33,-4,0.101
25,-6,0.102
16,0,0.103
13,5,0.104
12,7,0.105
6,9,0.106
-4,7,0.107
-12,5,0.108
-10,7,0.109
-3,9,0.11
4,9,0.111
10,8,0.112
8,5,0.113
-2,2,0.114
-13,1,0.115
-14,6,0.116
-5,5,0.117
5,2,0.118
19,3,0.119
40,10,0.12
63,15,0.121
70,14,0.122
48,9,0.123
8,3,0.124
-26,1,0.125
-42,3,0.126
-40,5,0.127
-28,-2,0.128
-20,-13,0.129
-17,-20,0.13
-16,-14,0.131
-12,-5,0.132
-4,0,0.133
9,-3,0.134
25,-7,0.135
33,-11,0.136
19,-10,0.137
4,-9,0.138
-15,-7,0.139
-27,-4,0.14
-15,1,0.141
-5,8,0.142
-6,12,0.143
-2,15,0.144
15,11,0.145
27,8,0.146
20,6,0.147
14,4,0.148
14,-1,0.149
10,-6,0.15
-8,-6,0.151
-26,-6,0.152
-40,-10,0.153
-49,-15,0.154
-37,-16,0.155
-37,-12,0.156
-42,-10,0.157
-35,-7,0.158
-12,-3,0.159
13,-1,0.16
24,-1,0.161
26,-3,0.162
28,-4,0.163
33,-2,0.164
36,3,0.165
39,7,0.166
47,3,0.167
55,-1,0.168
52,-1,0.169
38,3,0.17
28,5,0.171
30,5,0.172
36,4,0.173
26,3,0.174
-3,0,0.175
-36,-2,0.176
-52,-3,0.177
-52,-3,0.178
-42,-2,0.179
-26,0,0.18
-6,3,0.181
8,5,0.182
9,3,0.183
6,2,0.184
8,7,0.185
14,14,0.186
13,13,0.187
4,7,0.188
-4,4,0.189
-6,0,0.19
-8,-8,0.191
-14,-15,0.192
-17,-14,0.193
-18,-6,0.194
-15,-1,0.195
-11,-5,0.196
-5,-13,0.197
4,-12,0.198
13,-7,0.199
12,-4,0.2
1,-2,0.201
-8,0,0.202
-7,1,0.203
11,-3,0.204
37,-7,0.205
51,-4,0.206
44,1,0.207
26,4,0.208
16,4,0.209
15,7,0.21
10,9,0.211
-4,4,0.212
-17,-4,0.213
-20,-10,0.214
-12,-11,0.215
3,-8,0.216
19,-6,0.217
28,-1,0.218
34,3,0.219
42,5,0.22
54,11,0.221
54,16,0.222
30,14,0.223
-6,6,0.224
-37,2,0.225
-58,5,0.226
-73,5,0.227
-82,-4,0.228
-76,-15,0.229
-54,-20,0.23
-27,-17,0.231
-10,-11,0.232
-4,0,0.233
-1,7,0.234
12,6,0.235
23,-5,0.236
21,-19,0.237
10,-20,0.238
9,-11,0.239
21,-1,0.24
31,8,0.241
26,12,0.242
16,9,0.243
7,3,0.244
-5,-3,0.245
-16,-7,0.246
-11,-8,0.247
10,-3,0.248
27,6,0.249
27,10,0.25
17,6,0.251
12,2,0.252
12,5,0.253
9,10,0.254
4,9,0.255
-1,3,0.256
2,-2,0.257
12,-1,0.258
26,0,0.259
35,0,0.26
31,4,0.261
22,8,0.262
19,7,0.263
20,0,0.264
11,-5,0.265
-10,-4,0.266
-30,-2,0.267
-39,1,0.268
-38,4,0.269
-39,4,0.27
-37,-4,0.271
-28,-13,0.272
-19,-16,0.273
-13,-16,0.274
-9,-16,0.275
-6,-13,0.276
-2,-5,0.277
1,0,0.278
8,-6,0.279
19,-12,0.28
27,-4,0.281
32,9,0.282
32,10,0.283
29,2,0.284
29,1,0.285
30,9,0.286
29,13,0.287
22,10,0.288
14,7,0.289
13,7,0.29
18,3,0.291
17,-3,0.292
6,-5,0.293
-9,-4,0.294
-14,-6,0.295
-18,-8,0.296
-25,-8,0.297
-30,-1,0.298
-21,1,0.299
-4,-1,0.3
7,-1,0.301
9,3,0.302
4,2,0.303
-7,-4,0.304
-23,-8,0.305
-32,-3,0.306
-26,2,0.307
-14,0,0.308
-7,-5,0.309
-4,-5,0.31
2,0,0.311
13,0,0.312
18,-3,0.313
15,-4,0.314
14,-3,0.315
11,-1,0.316
2,-3,0.317
-6,-1,0.318
-3,2,0.319
13,6,0.32
24,6,0.321
21,3,0.322
15,-1,0.323
15,-2,0.324
17,3,0.325
14,12,0.326
12,15,0.327
19,9,0.328
