Deltoid,Bicep,Time
-3.0,-2.0,0.0
-3.0,-2.0,0.001
-1.0,-3.0,0.002
3.0,-2.0,0.003
7.0,0.0,0.004
4.0,4.0,0.005
-1.0,5.0,0.006
-3.0,3.0,0.007
0.0,1.0,0.008
2.0,4.0,0.009
4.0,6.0,0.01
5.0,6.0,0.011
9.0,3.0,0.012
6.0,0.0,0.013
2.0,-1.0,0.014
1.0,-1.0,0.015
4.0,0.0,0.016
8.0,0.0,0.017
5.0,-4.0,0.018
2.0,-5.0,0.019
-1.0,-4.0,0.02
-4.0,-4.0,0.021
-4.0,-3.0,0.022
0.0,-2.0,0.023
4.0,2.0,0.024
5.0,2.0,0.025
0.0,-11.0,0.026
1.0,-45.0,0.027
6.0,-88.0,0.028
5.0,-112.0,0.029
-1.0,-83.0,0.03
-3.0,-3.0,0.031
0.0,90.0,0.032
3.0,148.0,0.033
4.0,153.0,0.034
5.0,115.0,0.035
6.0,54.0,0.036
4.0,-1.0,0.037
-2.0,-27.0,0.038
-2.0,-19.0,0.039
-3.0,-13.0,0.04
-3.0,-16.0,0.041
-1.0,-19.0,0.042
6.0,-20.0,0.043
10.0,-23.0,0.044
4.0,-28.0,0.045
0.0,-35.0,0.046
0.0,-44.0,0.047
1.0,-46.0,0.048
1.0,-26.0,0.049
2.0,-3.0,0.05
1.0,23.0,0.051
0.0,42.0,0.052
1.0,35.0,0.053
2.0,26.0,0.054
2.0,16.0,0.055
2.0,9.0,0.056
2.0,9.0,0.057
3.0,9.0,0.058
1.0,7.0,0.059
-1.0,-3.0,0.06
-5.0,-14.0,0.061
-8.0,-13.0,0.062
-3.0,-9.0,0.063
8.0,-13.0,0.064
12.0,-17.0,0.065
6.0,-10.0,0.066
0.0,-2.0,0.067
0.0,-4.0,0.068
3.0,-10.0,0.069
1.0,-9.0,0.07
0.0,-3.0,0.071
4.0,-2.0,0.072
8.0,-5.0,0.073
7.0,-2.0,0.074
3.0,1.0,0.075
4.0,0.0,0.076
4.0,-4.0,0.077
1.0,-8.0,0.078
-1.0,-7.0,0.079
-2.0,-9.0,0.08
-2.0,-8.0,0.081
-4.0,-5.0,0.082
-1.0,-1.0,0.083
6.0,1.0,0.084
7.0,7.0,0.085
-1.0,14.0,0.086
-5.0,13.0,0.087
2.0,7.0,0.088
9.0,4.0,0.089
8.0,6.0,0.09
4.0,5.0,0.091
5.0,-1.0,0.092
9.0,-3.0,0.093
6.0,1.0,0.094
1.0,3.0,0.095
2.0,-2.0,0.096
7.0,-5.0,0.097
5.0,-4.0,0.098
0.0,0.0,0.099
-3.0,2.0,0.1
-2.0,0.0,0.101
-1.0,1.0,0.102
2.0,2.0,0.103
6.0,-5.0,0.104
