Deltoid,Bicep,Time
2.0,-13.0,0.0
-2.0,-11.0,0.001
2.0,-6.0,0.002
9.0,-5.0,0.003
13.0,-4.0,0.004
15.0,-1.0,0.005
14.0,0.0,0.006
8.0,2.0,0.007
-4.0,4.0,0.008
-14.0,6.0,0.009
-12.0,7.0,0.01
-2.0,8.0,0.011
4.0,9.0,0.012
5.0,9.0,0.013
8.0,1.0,0.014
18.0,-8.0,0.015
28.0,-13.0,0.016
27.0,-9.0,0.017
14.0,-9.0,0.018
-5.0,-8.0,0.019
-21.0,-8.0,0.02
-32.0,-10.0,0.021
-36.0,-9.0,0.022
-32.0,-3.0,0.023
-19.0,4.0,0.024
-1.0,8.0,0.025
16.0,8.0,0.026
23.0,6.0,0.027
24.0,3.0,0.028
24.0,2.0,0.029
20.0,4.0,0.03
5.0,8.0,0.031
-18.0,9.0,0.032
-31.0,4.0,0.033
-25.0,-1.0,0.034
-14.0,-4.0,0.035
-14.0,-6.0,0.036
-20.0,-5.0,0.037
-16.0,-10.0,0.038
2.0,-3.0,0.039
16.0,0.0,0.04
15.0,-4.0,0.041
10.0,-7.0,0.042
15.0,-3.0,0.043
22.0,0.0,0.044
22.0,1.0,0.045
16.0,3.0,0.046
15.0,6.0,0.047
18.0,9.0,0.048
19.0,9.0,0.049
15.0,8.0,0.05
11.0,11.0,0.051
6.0,13.0,0.052
3.0,11.0,0.053
4.0,8.0,0.054
11.0,4.0,0.055
13.0,0.0,0.056
9.0,-8.0,0.057
5.0,-9.0,0.058
9.0,-3.0,0.059
11.0,0.0,0.06
3.0,-4.0,0.061
-4.0,-6.0,0.062
-4.0,-3.0,0.063
-6.0,0.0,0.064
-14.0,1.0,0.065
-18.0,3.0,0.066
-10.0,6.0,0.067
-1.0,9.0,0.068
4.0,9.0,0.069
8.0,8.0,0.07
5.0,10.0,0.071
1.0,12.0,0.072
0.0,10.0,0.073
-2.0,8.0,0.074
-2.0,4.0,0.075
-1.0,0.0,0.076
3.0,-7.0,0.077
7.0,-12.0,0.078
3.0,-8.0,0.079
0.0,-2.0,0.08
4.0,-5.0,0.081
9.0,-7.0,0.082
11.0,-5.0,0.083
7.0,1.0,0.084
2.0,4.0,0.085
0.0,0.0,0.086
-2.0,-5.0,0.087
-6.0,-4.0,0.088
-7.0,2.0,0.089
-4.0,5.0,0.09
1.0,0.0,0.091
5.0,-7.0,0.092
9.0,-6.0,0.093
16.0,0.0,0.094
24.0,2.0,0.095
26.0,-2.0,0.096
22.0,0.0,0.097
14.0,4.0,0.098
1.0,7.0,0.099
-13.0,4.0,0.1
-24.0,2.0,0.101
-22.0,6.0,0.102
-9.0,7.0,0.103
6.0,4.0,0.104
11.0,1.0,0.105
4.0,3.0,0.106
-5.0,-1.0,0.107
-8.0,-12.0,0.108
-7.0,-15.0,0.109
-4.0,-4.0,0.11
-6.0,9.0,0.111
-7.0,9.0,0.112
-1.0,0.0,0.113
8.0,-5.0,0.114
16.0,-3.0,0.115
21.0,-4.0,0.116
25.0,-9.0,0.117
23.0,-11.0,0.118
14.0,-7.0,0.119
1.0,-4.0,0.12
-5.0,-4.0,0.121
-4.0,-4.0,0.122
-2.0,-1.0,0.123
-3.0,2.0,0.124
-3.0,2.0,0.125
-1.0,2.0,0.126
0.0,1.0,0.127
-5.0,0.0,0.128
-12.0,0.0,0.129
-12.0,1.0,0.13
-7.0,1.0,0.131
-3.0,2.0,0.132
1.0,3.0,0.133
5.0,4.0,0.134
7.0,6.0,0.135
3.0,9.0,0.136
3.0,8.0,0.137
8.0,6.0,0.138
15.0,0.0,0.139
21.0,-4.0,0.14
19.0,-8.0,0.141
17.0,-9.0,0.142
14.0,-10.0,0.143
9.0,-10.0,0.144
-2.0,-7.0,0.145
-9.0,-5.0,0.146
-3.0,-7.0,0.147
2.0,-10.0,0.148
2.0,-5.0,0.149
0.0,4.0,0.15
-1.0,8.0,0.151
-4.0,5.0,0.152
-4.0,3.0,0.153
-2.0,2.0,0.154
3.0,0.0,0.155
8.0,-4.0,0.156
7.0,1.0,0.157
6.0,9.0,0.158
3.0,9.0,0.159
0.0,0.0,0.16
-3.0,-11.0,0.161
-1.0,-10.0,0.162
11.0,-3.0,0.163
23.0,2.0,0.164
25.0,4.0,0.165
14.0,3.0,0.166
0.0,4.0,0.167
-7.0,5.0,0.168
-12.0,5.0,0.169
-21.0,-2.0,0.17
