Deltoid,Bicep,Time
4,-2,0.0
6,1,0.001
-2,3,0.002
-8,2,0.003
-10,-2,0.004
-19,-5,0.005
-35,-4,0.006
-41,0,0.007
-23,1,0.008
3,0,0.009
16,0,0.01
12,2,0.011
10,5,0.012
17,5,0.013
25,1,0.014
27,-1,0.015
24,-1,0.016
20,-3,0.017
17,0,0.018
17,3,0.019
15,4,0.02
9,5,0.021
4,6,0.022
2,5,0.023
3,0,0.024
4,-3,0.025
1,-2,0.026
1,0,0.027
0,-2,0.028
-4,-4,0.029
-12,-4,0.03
-11,-3,0.031
-4,-2,0.032
1,-2,0.033
-1,-2,0.034
-5,-2,0.035
-9,-3,0.036
-12,-6,0.037
-13,-4,0.038
-6,-2,0.039
1,-1,0.04
0,0,0.041
-6,2,0.042
-8,5,0.043
-2,3,0.044
2,-1,0.045
3,-2,0.046
5,0,0.047
9,-1,0.048
1,-2,0.049
-18,-1,0.05
-36,1,0.051
-31,1,0.052
-8,-1,0.053
15,-5,0.054
22,-7,0.055
19,-6,0.056
23,-7,0.057
37,-5,0.058
46,0,0.059
38,3,0.06
14,3,0.061
-11,5,0.062
-24,8,0.063
-16,7,0.064
6,2,0.065
18,-1,0.066
17,1,0.067
17,5,0.068
24,3,0.069
24,0,0.07
13,-1,0.071
0,-1,0.072
1,-1,0.073
7,-3,0.074
3,-1,0.075
-8,1,0.076
-12,-3,0.077
-7,-7,0.078
-5,-7,0.079
-7,-3,0.08
-11,0,0.081
-13,0,0.082
-11,-2,0.083
-8,-6,0.084
-5,-7,0.085
-4,-4,0.086
-2,-2,0.087
2,-3,0.088
6,-5,0.089
6,-4,0.09
5,0,0.091
7,0,0.092
8,0,0.093
5,-1,0.094
6,1,0.095
11,2,0.096
18,-1,0.097
18,-4,0.098
15,-3,0.099
12,-2,0.1
8,0,0.101
-1,3,0.102
-8,3,0.103
-9,1,0.104
-7,-1,0.105
-13,0,0.106
-18,2,0.107
-15,0,0.108
-6,-3,0.109
-2,-2,0.11
-1,0,0.111
2,0,0.112
7,-1,0.113
4,-1,0.114
1,-1,0.115
-2,-2,0.116
-1,-5,0.117
1,-5,0.118
5,-1,0.119
8,-1,0.12
8,0,0.121
9,1,0.122
7,3,0.123
6,1,0.124
8,-3,0.125
10,-3,0.126
6,0,0.127
2,0,0.128
2,-1,0.129
1,0,0.13
-3,1,0.131
-5,0,0.132
-3,-2,0.133
-2,-4,0.134
-6,-3,0.135
-9,-3,0.136
-8,-6,0.137
-3,-6,0.138
9,-5,0.139
21,-1,0.14
28,5,0.141
24,10,0.142
14,8,0.143
0,0,0.144
-13,-3,0.145
-25,-1,0.146
-27,0,0.147
-21,-3,0.148
-10,-4,0.149
1,0,0.15
15,1,0.151
25,-1,0.152
31,0,0.153
34,3,0.154
37,4,0.155
31,0,0.156
20,-7,0.157
22,-5,0.158
41,1,0.159
53,6,0.16
43,4,0.161
22,2,0.162
9,1,0.163
5,0,0.164
-2,0,0.165
-15,0,0.166
-22,-2,0.167
-21,-5,0.168
-23,-6,0.169
-26,-3,0.17
-24,0,0.171
-23,1,0.172
-24,1,0.173
-29,0,0.174
-26,-1,0.175
-20,-3,0.176
-19,-9,0.177
-16,-9,0.178
0,-5,0.179
18,-1,0.18
22,0,0.181
13,2,0.182
-1,3,0.183
-13,3,0.184
-29,1,0.185
-37,0,0.186
-24,-1,0.187
8,-2,0.188
32,-2,0.189
35,0,0.19
33,0,0.191
33,0,0.192
34,0,0.193
22,0,0.194
3,3,0.195
-11,2,0.196
-16,-2,0.197
-14,-5,0.198
-7,-6,0.199
1,-4,0.2
6,-1,0.201
3,2,0.202
0,3,0.203
3,1,0.204
6,-1,0.205
7,0,0.206
5,2,0.207
5,2,0.208
5,-3,0.209
5,-4,0.21
6,-3,0.211
7,-2,0.212
7,-2,0.213
5,-2,0.214
5,-2,0.215
4,-4,0.216
0,-9,0.217
-2,-8,0.218
0,-3,0.219
4,2,0.22
0,2,0.221
-9,0,0.222
-12,0,0.223
-3,-2,0.224
4,-3,0.225
4,-2,0.226
3,2,0.227
8,5,0.228
15,3,0.229
16,-1,0.23
13,-1,0.231
9,0,0.232
1,2,0.233
-10,2,0.234
-19,1,0.235
-23,0,0.236
-24,-6,0.237
-10,-6,0.238
17,-4,0.239
39,-2,0.24
36,-1,0.241
16,0,0.242
1,0,0.243
2,3,0.244
11,7,0.245
18,8,0.246
21,3,0.247
20,-2,0.248
16,-3,0.249
12,1,0.25
8,4,0.251
3,-1,0.252
-3,-3,0.253
-7,-3,0.254
-8,-1,0.255
-10,0,0.256
-15,-2,0.257
-13,-5,0.258
-4,-3,0.259
2,-2,0.26
1,0,0.261
-5,1,0.262
-10,1,0.263
-8,0,0.264
-5,-1,0.265
-5,-3,0.266
-6,-2,0.267
-9,-1,0.268
-10,-3,0.269
-2,-4,0.27
12,-2,0.271
16,-1,0.272
5,-1,0.273
-17,1,0.274
-23,4,0.275
-6,5,0.276
22,0,0.277
34,-4,0.278
28,-5,0.279
17,-2,0.28
8,0,0.281
0,4,0.282
-4,4,0.283
-1,0,0.284
7,-3,0.285
13,-2,0.286
15,0,0.287
16,1,0.288
11,0,0.289
-3,-1,0.29
-22,-1,0.291
-32,0,0.292
-26,1,0.293
-16,-4,0.294
-5,-8,0.295
3,-8,0.296
16,-4,0.297
33,0,0.298
45,3,0.299
42,4,0.3
19,4,0.301
-9,3,0.302
-20,-2,0.303
-13,-5,0.304
-2,-1,0.305
2,5,0.306
4,8,0.307
15,3,0.308
33,0,0.309
41,0,0.31
31,1,0.311
15,0,0.312
10,1,0.313
12,0,0.314
9,-2,0.315
-7,-5,0.316
-29,-7,0.317
-39,-4,0.318
-34,-2,0.319
-23,-1,0.32
-15,1,0.321
-11,4,0.322
-10,4,0.323
-4,0,0.324
7,-3,0.325
21,-2,0.326
30,-2,0.327
26,-4,0.328
13,-5,0.329
1,-3,0.33
0,0,0.331
1,0,0.332
1,0,0.333
2,-1,0.334
7,-1,0.335
4,0,0.336
-8,2,0.337
-19,3,0.338
-14,-1,0.339
2,-3,0.34
11,-1,0.341
6,1,0.342
1,0,0.343
3,-2,0.344
2,-2,0.345
-2,-2,0.346
-3,-1,0.347
2,0,0.348
6,-1,0.349
7,-2,0.35
7,0,0.351
6,1,0.352
4,1,0.353
-1,0,0.354
-8,-2,0.355
-22,-3,0.356
-33,-5,0.357
-31,-3,0.358
-15,0,0.359
-3,3,0.36
-5,1,0.361
-11,-1,0.362
-2,-2,0.363
21,1,0.364
38,4,0.365
39,5,0.366
33,5,0.367
34,4,0.368
45,3,0.369
58,5,0.37
57,5,0.371
37,3,0.372
10,0,0.373
-12,-2,0.374
-15,-1,0.375
-12,-3,0.376
-18,-8,0.377
-25,-9,0.378
-23,-7,0.379
-15,-3,0.38
-18,-4,0.381
-26,-4,0.382
-20,-2,0.383
4,-3,0.384
24,-5,0.385
20,-5,0.386
5,-2,0.387
-1,-1,0.388
3,-3,0.389
5,-3,0.39
-2,-1,0.391
-11,0,0.392
-20,1,0.393
-24,2,0.394
-19,2,0.395
-9,1,0.396
-5,-4,0.397
-12,-5,0.398
-19,-3,0.399
-21,0,0.4
-22,3,0.401
-23,5,0.402
-11,3,0.403
12,-1,0.404
26,-4,0.405
20,-2,0.406
3,-2,0.407
-9,-5,0.408
-12,-5,0.409
1,-2,0.41
42,2,0.411
93,-1,0.412
118,-6,0.413
105,-4,0.414
82,-1,0.415
65,2,0.416
65,1,0.417
57,0,0.418
26,1,0.419
-3,3,0.42
-24,2,0.421
-38,1,0.422
